province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,047,GUJRANWALA DISTRICT,NA,NA,NA,YES,GUJRANWALA DISTRICT,445595,386109,49736,9750,409945,441310,379689,352326,436589,440961,6.52
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,NA,NA,YES,GUJRANWALA CITY TEHSIL,27354,20306,6537,511,25821,27016,21532,19122,26614,27103,6.74
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,NA,YES,EMINABAD TC,4224,2372,1756,96,4081,4160,3271,2679,4081,4157,6.47
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,CHARGE NO 03,YES,CHARGE NO 03,4224,2372,1756,96,4081,4160,3271,2679,4081,4157,6.47
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,CHARGE NO 03,NO,CIRCLE NO 01,2210,1221,965,24,2119,2170,1732,1492,2152,2184,6.65
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,EMINABAD TC,CHARGE NO 03,NO,CIRCLE NO 02,2014,1151,791,72,1962,1990,1539,1187,1929,1973,6.27
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,NA,YES,LUDHEWALA WARAICH MC,13102,9605,3223,274,12053,12882,9525,7704,12591,12969,6.98
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,YES,CHARGE NO 04,13102,9605,3223,274,12053,12882,9525,7704,12591,12969,6.98
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 01,1558,907,611,40,1308,1549,1052,722,1467,1512,7
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 02,2495,1935,495,65,2453,2480,1789,1155,2323,2491,6.88
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 03,1828,1438,384,6,1408,1810,1441,1363,1818,1825,7.15
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 04,2927,2349,483,95,2719,2886,1963,2174,2806,2907,7.08
PUNJAB,047,GUJRANWALA DISTRICT,GUJRANWALA CITY TEHSIL,LUDHEWALA WARAICH MC,CHARGE NO 04,NO,CIRCLE NO 05,2719,1999,704,16,2676,2707,2306,1368,2669,2703,6.79
