province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,ALL SEXES,2756289,100,REGULAR,436952,99.47,2708513
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,ALL SEXES,2756289,100,INSTITUTIONAL,2300,0.52,47470
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,ALL SEXES,2756289,100,HOMELESS,50,0.01,306
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,ALL SEXES,2756289,100,TOTAL,439302,100,2756289
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,MALE,1334775,48.43,REGULAR,436952,99.47,1299684
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,MALE,1334775,48.43,INSTITUTIONAL,2300,0.52,34928
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,MALE,1334775,48.43,HOMELESS,50,0.01,163
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,MALE,1334775,48.43,TOTAL,439302,100,1334775
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,FEMALE,1421295,51.57,REGULAR,436952,99.47,1408611
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,FEMALE,1421295,51.57,INSTITUTIONAL,2300,0.52,12541
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,FEMALE,1421295,51.57,HOMELESS,50,0.01,143
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,FEMALE,1421295,51.57,TOTAL,439302,100,1421295
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,TRANSGENDER,219,0.01,REGULAR,436952,99.47,218
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,TRANSGENDER,219,0.01,INSTITUTIONAL,2300,0.52,1
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,TRANSGENDER,219,0.01,HOMELESS,50,0.01,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,TRANSGENDER,219,0.01,TOTAL,439302,100,219
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,ALL SEXES,1928789,100,REGULAR,305187,99.53,1907730
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,ALL SEXES,1928789,100,INSTITUTIONAL,1422,0.46,20847
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,ALL SEXES,1928789,100,HOMELESS,26,0.01,212
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,ALL SEXES,1928789,100,TOTAL,306635,100,1928789
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,MALE,918346,47.61,REGULAR,305187,99.53,906839
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,MALE,918346,47.61,INSTITUTIONAL,1422,0.46,11396
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,MALE,918346,47.61,HOMELESS,26,0.01,111
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,MALE,918346,47.61,TOTAL,306635,100,918346
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,FEMALE,1010297,52.38,REGULAR,305187,99.53,1000746
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,FEMALE,1010297,52.38,INSTITUTIONAL,1422,0.46,9450
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,FEMALE,1010297,52.38,HOMELESS,26,0.01,101
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,FEMALE,1010297,52.38,TOTAL,306635,100,1010297
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,TRANSGENDER,146,0.01,REGULAR,305187,99.53,145
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,TRANSGENDER,146,0.01,INSTITUTIONAL,1422,0.46,1
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,TRANSGENDER,146,0.01,HOMELESS,26,0.01,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,TRANSGENDER,146,0.01,TOTAL,306635,100,146
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,ALL SEXES,827500,100,REGULAR,131765,99.32,800783
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,ALL SEXES,827500,100,INSTITUTIONAL,878,0.66,26623
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,ALL SEXES,827500,100,HOMELESS,24,0.02,94
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,ALL SEXES,827500,100,TOTAL,132667,100,827500
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,MALE,416429,50.32,REGULAR,131765,99.32,392845
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,MALE,416429,50.32,INSTITUTIONAL,878,0.66,23532
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,MALE,416429,50.32,HOMELESS,24,0.02,52
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,MALE,416429,50.32,TOTAL,132667,100,416429
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,FEMALE,410998,49.67,REGULAR,131765,99.32,407865
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,FEMALE,410998,49.67,INSTITUTIONAL,878,0.66,3091
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,FEMALE,410998,49.67,HOMELESS,24,0.02,42
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,FEMALE,410998,49.67,TOTAL,132667,100,410998
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,TRANSGENDER,73,0.01,REGULAR,131765,99.32,73
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,TRANSGENDER,73,0.01,INSTITUTIONAL,878,0.66,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,TRANSGENDER,73,0.01,HOMELESS,24,0.02,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,URBAN,TRANSGENDER,73,0.01,TOTAL,132667,100,73
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,ALL SEXES,1497706,100,REGULAR,237195,99.44,1477718
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,ALL SEXES,1497706,100,INSTITUTIONAL,1304,0.55,19744
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,ALL SEXES,1497706,100,HOMELESS,29,0.01,244
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,ALL SEXES,1497706,100,TOTAL,238528,100,1497706
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,MALE,726071,48.48,REGULAR,237195,99.44,714453
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,MALE,726071,48.48,INSTITUTIONAL,1304,0.55,11486
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,MALE,726071,48.48,HOMELESS,29,0.01,132
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,MALE,726071,48.48,TOTAL,238528,100,726071
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,FEMALE,771507,51.51,REGULAR,237195,99.44,763137
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,FEMALE,771507,51.51,INSTITUTIONAL,1304,0.55,8258
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,FEMALE,771507,51.51,HOMELESS,29,0.01,112
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,FEMALE,771507,51.51,TOTAL,238528,100,771507
PUNJAB,048,GUJRAT DISTRICT,GUJRAT TEHSIL,TOTAL,TRANSGENDER,128,0.01,REGULAR,237195,99.44,128
