province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,1,11189,2.56,2.81,50564,11.57,4.94,2881
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,1,25322,5.8,2.79,50564,11.57,4.94,5052
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,1,37991,8.69,2.84,50564,11.57,4.94,6409
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,1,56559,12.94,2.9,50564,11.57,4.94,8249
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,1,71193,16.29,3,50564,11.57,4.94,9107
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,1,69424,15.89,3.08,50564,11.57,4.94,7690
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,1,52439,12,3.2,50564,11.57,4.94,4980
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,1,35804,8.19,3.39,50564,11.57,4.94,2791
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,1,23291,5.33,3.59,50564,11.57,4.94,1516
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,53740,12.3,4.28,50564,11.57,4.94,1889
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,2,11189,2.56,2.81,126666,28.99,5.59,3307
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,2,25322,5.8,2.79,126666,28.99,5.59,8634
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,2,37991,8.69,2.84,126666,28.99,5.59,12717
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,2,56559,12.94,2.9,126666,28.99,5.59,18887
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,2,71193,16.29,3,126666,28.99,5.59,22646
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,2,69424,15.89,3.08,126666,28.99,5.59,21672
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,2,52439,12,3.2,126666,28.99,5.59,15404
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,2,35804,8.19,3.39,126666,28.99,5.59,9685
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,2,23291,5.33,3.59,126666,28.99,5.59,5559
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,53740,12.3,4.28,126666,28.99,5.59,8155
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,3,11189,2.56,2.81,109653,25.09,6.13,2061
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,3,25322,5.8,2.79,109653,25.09,6.13,5480
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,3,37991,8.69,2.84,109653,25.09,6.13,9094
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,3,56559,12.94,2.9,109653,25.09,6.13,14207
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,3,71193,16.29,3,109653,25.09,6.13,18780
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,3,69424,15.89,3.08,109653,25.09,6.13,18569
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,3,52439,12,3.2,109653,25.09,6.13,14143
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,3,35804,8.19,3.39,109653,25.09,6.13,9527
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,3,23291,5.33,3.59,109653,25.09,6.13,5933
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,53740,12.3,4.28,109653,25.09,6.13,11859
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,4,11189,2.56,2.81,72298,16.55,6.73,1256
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,4,25322,5.8,2.79,72298,16.55,6.73,2960
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,4,37991,8.69,2.84,72298,16.55,6.73,5199
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,4,56559,12.94,2.9,72298,16.55,6.73,8100
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,4,71193,16.29,3,72298,16.55,6.73,10834
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,4,69424,15.89,3.08,72298,16.55,6.73,11205
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,4,52439,12,3.2,72298,16.55,6.73,9238
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,4,35804,8.19,3.39,72298,16.55,6.73,6730
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,4,23291,5.33,3.59,72298,16.55,6.73,4840
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,53740,12.3,4.28,72298,16.55,6.73,11936
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,1 PERSON,5,11189,2.56,2.81,32419,7.42,7.14,592
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,2 PERSONS,5,25322,5.8,2.79,32419,7.42,7.14,1318
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,3 PERSONS,5,37991,8.69,2.84,32419,7.42,7.14,2044
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,4 PERSONS,5,56559,12.94,2.9,32419,7.42,7.14,3278
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5 PERSONS,5,71193,16.29,3,32419,7.42,7.14,4636
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,6 PERSONS,5,69424,15.89,3.08,32419,7.42,7.14,4680
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,7 PERSONS,5,52439,12,3.2,32419,7.42,7.14,3861
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,8 PERSONS,5,35804,8.19,3.39,32419,7.42,7.14,3039
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,9 PERSONS,5,23291,5.33,3.59,32419,7.42,7.14,2188
