province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,INSIDE WATER,TOTAL INSIDE,381185,87.24,334330
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,INSIDE WATER,TAP,70811,16.21,56660
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,INSIDE WATER,ELECTRIC/HAND PUMP,300430,68.76,270470
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,INSIDE WATER,PROTECTED WELL,440,0.1,390
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,INSIDE WATER,UN-PROTECTED WELL,408,0.09,342
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,INSIDE WATER,OTHERS,9096,2.08,6468
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,TOTAL OUTSIDE,55767,12.76,45169
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,TAP,21898,5.01,17792
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,ELECTRIC/HAND PUMP,28052,6.42,22891
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,PROTECTED WELL,42,0.01,35
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,UN-PROTECTED WELL,89,0.02,76
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,SPRING,74,0.02,60
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,CANAL/RIVER/POND,25,0.01,21
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,OUTSIDE WATER,OTHERS,5587,1.28,4294
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,COOKING FUEL,WOOD,194998,44.63,17792
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OWNED,379499,86.85,COOKING FUEL,GAS,214002,48.98,22891
