province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,INSIDE WATER,TAP,56660,14.93,1731
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,INSIDE WATER,ELECTRIC/HAND PUMP,270470,71.27,4026
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,INSIDE WATER,PROTECTED WELL,390,0.1,11
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,INSIDE WATER,UN-PROTECTED WELL,342,0.09,17
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,INSIDE WATER,OTHERS,6468,1.7,95
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,TAP,17792,4.69,310
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,ELECTRIC/HAND PUMP,22891,6.03,431
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,PROTECTED WELL,35,0.01,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,UN-PROTECTED WELL,76,0.02,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,SPRING,60,0.02,2
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,CANAL/RIVER/POND,21,0.01,0
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,OUTSIDE WATER,OTHERS,4294,1.13,91
