province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,KITCHEN,SEPARATE,300002,79.05,5460
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,KITCHEN,SHARED,49418,13.02,709
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,KITCHEN,NONE,30079,7.93,545
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,BATH,SEPARATE,301773,79.52,5435
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,BATH,SHARED,61306,16.15,905
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,BATH,NONE,16420,4.33,374
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,LATRINE,SEWER,49336,13,1219
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,LATRINE,SEPTIC TANK,121545,32.03,1929
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,LATRINE,OPEN DRAIN,24877,6.56,443
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,LATRINE,PIT WITH SLAB,162518,42.82,2766
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,LATRINE,OTHER,4166,1.1,68
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,UNDER CONSTRUCTION,6714,1.77,LATRINE,NONE,17057,4.49,289
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,KITCHEN,SEPARATE,300002,79.05,32913
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,KITCHEN,SHARED,49418,13.02,4893
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,KITCHEN,NONE,30079,7.93,3668
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,BATH,SEPARATE,301773,79.52,33318
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,BATH,SHARED,61306,16.15,5965
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,BATH,NONE,16420,4.33,2191
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LATRINE,SEWER,49336,13,5683
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LATRINE,SEPTIC TANK,121545,32.03,12727
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LATRINE,OPEN DRAIN,24877,6.56,2597
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LATRINE,PIT WITH SLAB,162518,42.82,17820
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LATRINE,OTHER,4166,1.1,584
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,LESS THAN 5 YEARS,41474,10.93,LATRINE,NONE,17057,4.49,2063
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,KITCHEN,SEPARATE,300002,79.05,77017
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,KITCHEN,SHARED,49418,13.02,12184
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,KITCHEN,NONE,30079,7.93,6179
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,BATH,SEPARATE,301773,79.52,76942
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,BATH,SHARED,61306,16.15,14777
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,BATH,NONE,16420,4.33,3661
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LATRINE,SEWER,49336,13,12692
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LATRINE,SEPTIC TANK,121545,32.03,29550
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LATRINE,OPEN DRAIN,24877,6.56,5836
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LATRINE,PIT WITH SLAB,162518,42.82,42316
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LATRINE,OTHER,4166,1.1,1192
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,5-10 YEARS,95380,25.13,LATRINE,NONE,17057,4.49,3794
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,KITCHEN,SEPARATE,300002,79.05,179779
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,KITCHEN,SHARED,49418,13.02,30294
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,KITCHEN,NONE,30079,7.93,18790
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,BATH,SEPARATE,301773,79.52,180916
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,BATH,SHARED,61306,16.15,38129
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,BATH,NONE,16420,4.33,9818
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LATRINE,SEWER,49336,13,28540
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LATRINE,SEPTIC TANK,121545,32.03,75100
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LATRINE,OPEN DRAIN,24877,6.56,15560
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LATRINE,PIT WITH SLAB,162518,42.82,96878
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LATRINE,OTHER,4166,1.1,2207
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,11-50 YEARS,228863,60.31,LATRINE,NONE,17057,4.49,10578
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,KITCHEN,SEPARATE,300002,79.05,4833
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,KITCHEN,SHARED,49418,13.02,1338
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,KITCHEN,NONE,30079,7.93,897
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,BATH,SEPARATE,301773,79.52,5162
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,BATH,SHARED,61306,16.15,1530
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,BATH,NONE,16420,4.33,376
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,LATRINE,SEWER,49336,13,1202
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,LATRINE,SEPTIC TANK,121545,32.03,2239
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,LATRINE,OPEN DRAIN,24877,6.56,441
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,LATRINE,PIT WITH SLAB,162518,42.82,2738
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,LATRINE,OTHER,4166,1.1,115
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,TOTAL,OVER 50 YEARS,7068,1.86,LATRINE,NONE,17057,4.49,333
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,KITCHEN,SEPARATE,222356,78.78,4090
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,KITCHEN,SHARED,35145,12.45,499
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,KITCHEN,NONE,24743,8.77,412
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,BATH,SEPARATE,223410,79.15,4049
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,BATH,SHARED,44110,15.63,638
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,BATH,NONE,14724,5.22,314
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,LATRINE,SEWER,30460,10.79,822
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,LATRINE,SEPTIC TANK,79771,28.26,1254
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,LATRINE,OPEN DRAIN,20756,7.35,365
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,LATRINE,PIT WITH SLAB,131569,46.62,2269
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,LATRINE,OTHER,3302,1.17,28
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,UNDER CONSTRUCTION,5001,1.77,LATRINE,NONE,16386,5.81,263
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,KITCHEN,SEPARATE,222356,78.78,24586
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,KITCHEN,SHARED,35145,12.45,3683
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,KITCHEN,NONE,24743,8.77,2997
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,BATH,SEPARATE,223410,79.15,24917
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,BATH,SHARED,44110,15.63,4417
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,BATH,NONE,14724,5.22,1932
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,LATRINE,SEWER,30460,10.79,3713
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,LATRINE,SEPTIC TANK,79771,28.26,8630
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,LATRINE,OPEN DRAIN,20756,7.35,2169
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,LATRINE,PIT WITH SLAB,131569,46.62,14441
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,LATRINE,OTHER,3302,1.17,355
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,LESS THAN 5 YEARS,31266,11.08,LATRINE,NONE,16386,5.81,1958
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,KITCHEN,SEPARATE,222356,78.78,57681
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,KITCHEN,SHARED,35145,12.45,8628
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,KITCHEN,NONE,24743,8.77,5119
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,BATH,SEPARATE,223410,79.15,57442
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,BATH,SHARED,44110,15.63,10716
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,BATH,NONE,14724,5.22,3270
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,LATRINE,SEWER,30460,10.79,8142
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,LATRINE,SEPTIC TANK,79771,28.26,19782
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,LATRINE,OPEN DRAIN,20756,7.35,4804
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,LATRINE,PIT WITH SLAB,131569,46.62,34154
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,LATRINE,OTHER,3302,1.17,908
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,5-10 YEARS,71428,25.31,LATRINE,NONE,16386,5.81,3638
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,11-50 YEARS,170099,60.27,KITCHEN,SEPARATE,222356,78.78,133148
PUNJAB,048,GUJRAT DISTRICT,GUJRAT DISTRICT,RURAL,11-50 YEARS,170099,60.27,KITCHEN,SHARED,35145,12.45,21331
