province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,049,HAFIZABAD DISTRICT,NA,NA,NA,YES,HAFIZABAD DISTRICT,NA,113882,71226,33531,9125,107347,109800,41105,71544,78833,83848,6.59
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,NA,NA,YES,HAFIZABAD TEHSIL,NA,59391,37070,18982,3339,57635,57735,28393,40491,48001,50647,6.7
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,NA,YES,CHAK CHATHA QH,NA,14216,9853,3930,433,14030,14030,9549,10191,12646,13429,6.88
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,BORIANWALA PC,YES,BORIANWALA PC,NA,482,434,42,6,479,476,260,340,387,425,6.77
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,BORIANWALA PC,NO,BORIAN WALA,0000256,482,434,42,6,479,476,260,340,387,425,6.77
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,CHAK CHATHA PC,YES,CHAK CHATHA PC,NA,2300,2007,253,40,2259,2281,1727,1768,2162,2217,6.48
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,CHAK CHATHA PC,NO,CHAK CHATHA,0000267,1657,1387,235,35,1620,1643,1434,1387,1600,1630,6.43
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,CHAK CHATHA PC,NO,KHARALAN WALA,0000266,131,117,11,3,129,130,0,75,101,105,7.5
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,CHAK CHATHA PC,NO,MANGAT UNCHE,0000264,391,388,2,1,391,388,290,225,354,369,6.15
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD TEHSIL,CHAK CHATHA QH,CHAK CHATHA PC,NO,PIR KOT JANUBI,0000265,121,115,5,1,119,120,3,81,107,113,7.16
