province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,1,3304,1.89,2.13,35123,20.07,5.12,1414
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,1,8166,4.67,2.11,35123,20.07,5.12,3235
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,1,12658,7.23,2.27,35123,20.07,5.12,4138
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,1,19452,11.12,2.42,35123,20.07,5.12,5317
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,1,27513,15.72,2.53,35123,20.07,5.12,6460
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,1,29016,16.58,2.63,35123,20.07,5.12,5898
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,1,23014,13.15,2.74,35123,20.07,5.12,3949
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,1,16182,9.25,2.9,35123,20.07,5.12,2314
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,1,10468,5.98,3.1,35123,20.07,5.12,1126
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,25194,14.4,3.86,35123,20.07,5.12,1272
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,2,3304,1.89,2.13,56141,32.09,6.06,999
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,2,8166,4.67,2.11,56141,32.09,6.06,2674
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,2,12658,7.23,2.27,56141,32.09,6.06,4318
