province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,1,2091,1.34,28601,18.28,407
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,1,26118,16.7,28601,18.28,5439
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5-10 YEARS,1,45637,29.17,28601,18.28,8002
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11-50 YEARS,1,79373,50.74,28601,18.28,14244
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,1,3209,2.05,28601,18.28,509
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,2,2091,1.34,49090,31.38,638
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,2,26118,16.7,49090,31.38,8196
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5-10 YEARS,2,45637,29.17,49090,31.38,14577
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11-50 YEARS,2,79373,50.74,49090,31.38,24684
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,2,3209,2.05,49090,31.38,995
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3,2091,1.34,36325,23.22,468
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,3,26118,16.7,36325,23.22,5788
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5-10 YEARS,3,45637,29.17,36325,23.22,10948
