province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,KITCHEN,SEPARATE,90387,51.66,83436
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,KITCHEN,SHARED,24918,14.24,22948
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,KITCHEN,NONE,59662,34.1,50044
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,BATH,SEPARATE,101830,58.2,93358
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,BATH,SHARED,32865,18.78,30125
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,BATH,NONE,40272,23.02,32945
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,LATRINE,SEWER,22812,13.04,20095
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,LATRINE,SEPTIC TANK,45077,25.76,41730
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,LATRINE,OPEN DRAIN,22197,12.69,19759
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,LATRINE,PIT WITH SLAB,52336,29.91,48450
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,LATRINE,OTHER,835,0.48,734
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OWNED,156428,89.4,LATRINE,NONE,31710,18.12,25660
