province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,32623,20.85,BAKED BRICKS/BLOCKS/STONES,1835,1.17,714
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,32623,20.85,UNBAKED BRICKS/MUD,182,0.12,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,32623,20.85,WOOD/BAMBOO,22,0.01,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,32623,20.85,OTHERS,52,0.03,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,32623,20.85,BAKED BRICKS/BLOCKS/STONES,24451,15.63,8202
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,32623,20.85,UNBAKED BRICKS/MUD,1080,0.69,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,32623,20.85,WOOD/BAMBOO,112,0.07,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,32623,20.85,OTHERS,475,0.3,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,32623,20.85,BAKED BRICKS/BLOCKS/STONES,43447,27.77,10581
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,32623,20.85,UNBAKED BRICKS/MUD,1621,1.04,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,32623,20.85,WOOD/BAMBOO,177,0.11,0
