province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,WALL,BAKED BRICKS/BLOCKS/STONES,241011,95.64,215468
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,WALL,UNBAKED BRICKS/MUD,6753,2.68,4598
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,WALL,WOOD/BAMBOO,1647,0.65,1094
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,WALL,OTHERS,2596,1.03,1939
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,ROOF,RCC/RBC,61037,24.22,53369
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,ROOF,CEMENT/IRON SHEETS,23846,9.46,19890
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,ROOF,GARDER/T.IRON,94412,37.46,87260
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,ROOF,WOOD/BAMBOO,68954,27.36,59616
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,OWNED,223099,88.53,ROOF,OTHERS,3758,1.49,2964
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,WALL,BAKED BRICKS/BLOCKS/STONES,241011,95.64,12104
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,WALL,UNBAKED BRICKS/MUD,6753,2.68,1384
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,WALL,WOOD/BAMBOO,1647,0.65,143
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,WALL,OTHERS,2596,1.03,160
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,ROOF,RCC/RBC,61037,24.22,5590
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,ROOF,CEMENT/IRON SHEETS,23846,9.46,1301
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,ROOF,GARDER/T.IRON,94412,37.46,3353
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,ROOF,WOOD/BAMBOO,68954,27.36,3340
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENTED,13791,5.47,ROOF,OTHERS,3758,1.49,207
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENT FREE,15117,6,WALL,BAKED BRICKS/BLOCKS/STONES,241011,95.64,13439
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENT FREE,15117,6,WALL,UNBAKED BRICKS/MUD,6753,2.68,771
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENT FREE,15117,6,WALL,WOOD/BAMBOO,1647,0.65,410
PUNJAB,050,MANDI BAHAUDDIN DISTRICT,MANDI BAHAUDDIN DISTRICT,TOTAL,RENT FREE,15117,6,WALL,OTHERS,2596,1.03,497
