province_name,district_code,district_name,area_name,area_type,gender,religious_affiliation,count
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,TOTAL,1707575
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,MUSLIM,1663508
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,CHRISTIAN,37910
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,HINDU,627
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,AHMADI,5430
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,SCHEDULED CASTES,30
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,ALL SEXES,OTHERS,70
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,TOTAL,839934
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,MUSLIM,817812
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,CHRISTIAN,19055
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,HINDU,295
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,AHMADI,2730
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,SCHEDULED CASTES,11
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,MALE,OTHERS,31
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,TOTAL,867472
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,MUSLIM,845531
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,CHRISTIAN,18852
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,HINDU,332
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,AHMADI,2699
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,SCHEDULED CASTES,19
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,FEMALE,OTHERS,39
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,TOTAL,169
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,MUSLIM,165
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,CHRISTIAN,3
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,HINDU,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,AHMADI,1
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,SCHEDULED CASTES,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,TRANSGENDER,OTHERS,0
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,RURAL,ALL SEXES,TOTAL,1450918
