province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,WALL,BAKED BRICKS/BLOCKS/STONES,226414,94.31,215715
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,WALL,UNBAKED BRICKS/MUD,9449,3.94,9045
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,WALL,WOOD/BAMBOO,1342,0.56,1182
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,WALL,OTHERS,2860,1.19,2658
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,ROOF,RCC/RBC,75584,31.48,70112
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,ROOF,CEMENT/IRON SHEETS,5898,2.46,5521
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,ROOF,GARDER/T.IRON,107378,44.73,104040
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,ROOF,WOOD/BAMBOO,46764,19.48,44762
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,OWNED,228600,95.22,ROOF,OTHERS,4441,1.85,4165
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,WALL,BAKED BRICKS/BLOCKS/STONES,226414,94.31,7596
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,WALL,UNBAKED BRICKS/MUD,9449,3.94,199
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,WALL,WOOD/BAMBOO,1342,0.56,56
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,WALL,OTHERS,2860,1.19,86
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,ROOF,RCC/RBC,75584,31.48,4506
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,ROOF,CEMENT/IRON SHEETS,5898,2.46,251
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,ROOF,GARDER/T.IRON,107378,44.73,2048
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,ROOF,WOOD/BAMBOO,46764,19.48,1028
PUNJAB,051,NAROWAL DISTRICT,NAROWAL DISTRICT,TOTAL,RENTED,7937,3.31,ROOF,OTHERS,4441,1.85,104
