province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,1,10792,1.88,2.44,74794,13.05,5.08,4000
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,1,24043,4.19,2.57,74794,13.05,5.08,6468
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,1,40144,7,2.71,74794,13.05,5.08,8729
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,1,63086,11,2.84,74794,13.05,5.08,11394
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,5 PERSONS,1,87412,15.25,2.95,74794,13.05,5.08,13473
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,6 PERSONS,1,94139,16.42,3.05,74794,13.05,5.08,12397
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,7 PERSONS,1,76100,13.27,3.17,74794,13.05,5.08,8411
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,8 PERSONS,1,53618,9.35,3.32,74794,13.05,5.08,4862
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,9 PERSONS,1,34970,6.1,3.57,74794,13.05,5.08,2339
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,89042,15.53,4.4,74794,13.05,5.08,2721
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,1 PERSON,2,10792,1.88,2.44,156238,27.25,5.91,2940
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,2 PERSONS,2,24043,4.19,2.57,156238,27.25,5.91,7879
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,3 PERSONS,2,40144,7,2.71,156238,27.25,5.91,13107
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,4 PERSONS,2,63086,11,2.84,156238,27.25,5.91,20200
