province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,INSIDE WATER,TAP,89084,17.9,2400
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,INSIDE WATER,ELECTRIC/HAND PUMP,368894,74.11,5181
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,INSIDE WATER,PROTECTED WELL,352,0.07,12
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,INSIDE WATER,UN-PROTECTED WELL,552,0.11,31
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,INSIDE WATER,OTHERS,3956,0.79,76
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,OUTSIDE WATER,TAP,10263,2.06,161
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,OUTSIDE WATER,ELECTRIC/HAND PUMP,16622,3.34,258
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,OUTSIDE WATER,PROTECTED WELL,27,0.01,0
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,OUTSIDE WATER,UN-PROTECTED WELL,41,0.01,1
PUNJAB,052,SIALKOT DISTRICT,SIALKOT DISTRICT,TOTAL,UNDER CONSTRUCTION,8328,1.67,OUTSIDE WATER,SPRING,27,0.01,1
