province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,INSIDE WATER,TAP,665991,57.48,16828
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,INSIDE WATER,ELECTRIC/HAND PUMP,371004,32.02,6297
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,INSIDE WATER,PROTECTED WELL,1383,0.12,45
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,INSIDE WATER,UN-PROTECTED WELL,1341,0.12,92
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,INSIDE WATER,OTHERS,28861,2.49,457
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,TAP,25820,2.23,375
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,ELECTRIC/HAND PUMP,13642,1.18,202
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,PROTECTED WELL,175,0.02,2
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,UN-PROTECTED WELL,82,0.01,5
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,SPRING,154,0.01,0
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,CANAL/RIVER/POND,290,0.03,3
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,OUTSIDE WATER,OTHERS,49871,4.3,974
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,COOKING FUEL,WOOD,130416,11.26,4315
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,COOKING FUEL,GAS,978707,84.47,19842
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,COOKING FUEL,KEROSENE OIL,1328,0.11,41
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,COOKING FUEL,OTHERS,48163,4.16,1082
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,LIGHTING SOURCE,ELECTRICITY,1149278,99.19,24834
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,LIGHTING SOURCE,KEROSENE OIL,5122,0.44,244
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,LIGHTING SOURCE,GAS LAMP,511,0.04,20
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,UNDER CONSTRUCTION,25280,2.18,LIGHTING SOURCE,OTHERS,3703,0.32,182
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,INSIDE WATER,TAP,665991,57.48,56979
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,INSIDE WATER,ELECTRIC/HAND PUMP,371004,32.02,71908
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,INSIDE WATER,PROTECTED WELL,1383,0.12,323
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,INSIDE WATER,UN-PROTECTED WELL,1341,0.12,126
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,INSIDE WATER,OTHERS,28861,2.49,4753
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,OUTSIDE WATER,TAP,25820,2.23,3536
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,OUTSIDE WATER,ELECTRIC/HAND PUMP,13642,1.18,2010
