province_name,district_code,district_name,area_name,area_type,gender,mother_tongue,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,TOTAL,3454881
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,URDU,62099
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,PUNJABI,3104469
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,SINDHI,1974
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,PUSHTO,6706
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,BALOCHI,265
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,KASHMIRI,2664
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,SARAIKI,6167
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,HINDKO,921
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,BRAHVI,251
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,OTHER,269365
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,TOTAL,1788617
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,URDU,32241
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,PUNJABI,1605595
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,SINDHI,1338
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,PUSHTO,4009
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,BALOCHI,187
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,KASHMIRI,1354
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,SARAIKI,3294
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,HINDKO,555
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,BRAHVI,132
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,OTHER,139912
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,TOTAL,1666044
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,URDU,29852
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,PUNJABI,1498677
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,SINDHI,636
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,PUSHTO,2696
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,BALOCHI,78
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,KASHMIRI,1310
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,SARAIKI,2866
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,HINDKO,366
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,BRAHVI,119
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,OTHER,129444
