province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,3454881,100,REGULAR,520218,99.47,3421048
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,3454881,100,INSTITUTIONAL,2697,0.52,33582
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,3454881,100,HOMELESS,75,0.01,251
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,ALL SEXES,3454881,100,TOTAL,522990,100,3454881
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,1788617,51.77,REGULAR,520218,99.47,1766754
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,1788617,51.77,INSTITUTIONAL,2697,0.52,21703
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,1788617,51.77,HOMELESS,75,0.01,160
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,MALE,1788617,51.77,TOTAL,522990,100,1788617
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,1666044,48.22,REGULAR,520218,99.47,1654075
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,1666044,48.22,INSTITUTIONAL,2697,0.52,11878
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,1666044,48.22,HOMELESS,75,0.01,91
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,FEMALE,1666044,48.22,TOTAL,522990,100,1666044
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,TRANSGENDER,220,0.01,REGULAR,520218,99.47,219
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,TRANSGENDER,220,0.01,INSTITUTIONAL,2697,0.52,1
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,TRANSGENDER,220,0.01,HOMELESS,75,0.01,0
