province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,1,462333,88.87,177954,34.21,151024
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,1,28646,5.51,177954,34.21,12418
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENT FREE,1,29239,5.62,177954,34.21,14512
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,2,462333,88.87,193807,37.25,172185
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,2,28646,5.51,193807,37.25,11055
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENT FREE,2,29239,5.62,193807,37.25,10567
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,3,462333,88.87,83324,16.02,76874
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,3,28646,5.51,83324,16.02,3653
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENT FREE,3,29239,5.62,83324,16.02,2797
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,4,462333,88.87,37964,7.3,36107
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,4,28646,5.51,37964,7.3,1020
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENT FREE,4,29239,5.62,37964,7.3,837
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,5,462333,88.87,13162,2.53,12677
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,5,28646,5.51,13162,2.53,254
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENT FREE,5,29239,5.62,13162,2.53,231
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,6,462333,88.87,6876,1.32,6656
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,6,28646,5.51,6876,1.32,98
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENT FREE,6,29239,5.62,6876,1.32,122
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OWNED,7,462333,88.87,3406,0.65,3234
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,RENTED,7,28646,5.51,3406,0.65,89
