province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,WALL,BAKED BRICKS/BLOCKS/STONES,427161,92.39,7045
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,WALL,UNBAKED BRICKS/MUD,28943,6.26,506
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,WALL,WOOD/BAMBOO,3457,0.75,155
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,WALL,OTHERS,2772,0.6,123
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,ROOF,RCC/RBC,98431,21.29,2578
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,ROOF,CEMENT/IRON SHEETS,14430,3.12,445
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,ROOF,GARDER/T.IRON,268286,58.03,3661
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,ROOF,WOOD/BAMBOO,76596,16.57,1001
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,UNDER CONSTRUCTION,7829,1.69,ROOF,OTHERS,4590,0.99,144
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,LESS THAN 5 YEARS,74324,16.08,WALL,BAKED BRICKS/BLOCKS/STONES,427161,92.39,67490
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,LESS THAN 5 YEARS,74324,16.08,WALL,UNBAKED BRICKS/MUD,28943,6.26,5394
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,LESS THAN 5 YEARS,74324,16.08,WALL,WOOD/BAMBOO,3457,0.75,894
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,LESS THAN 5 YEARS,74324,16.08,WALL,OTHERS,2772,0.6,546
