province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1001600,63.71,ILLITERATE,363448
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 - 14,155072,85.53,ILLITERATE,22446
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,15 - 19,140376,80.61,ILLITERATE,27213
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,20 - 24,124268,74.19,ILLITERATE,32076
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,25 - 29,105266,67.64,ILLITERATE,34067
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,30 - 34,92407,62.87,ILLITERATE,34311
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,35 - 39,83344,58.03,ILLITERATE,34976
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,40 - 44,67364,53.18,ILLITERATE,31543
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,45 - 49,55441,46.1,ILLITERATE,29885
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,50 - 54,50946,42.44,ILLITERATE,29327
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,55 - 59,35898,39.39,ILLITERATE,21756
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,60 - 64,29931,34.41,ILLITERATE,19631
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,65 - 69,20675,28.4,ILLITERATE,14804
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,70 - 74,17779,24.86,ILLITERATE,13360
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,22833,20.93,ILLITERATE,18053
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1001600,63.71,TOTAL LITERATE,638152
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 - 14,155072,85.53,TOTAL LITERATE,132626
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,15 - 19,140376,80.61,TOTAL LITERATE,113163
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,20 - 24,124268,74.19,TOTAL LITERATE,92192
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,25 - 29,105266,67.64,TOTAL LITERATE,71199
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,30 - 34,92407,62.87,TOTAL LITERATE,58096
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,35 - 39,83344,58.03,TOTAL LITERATE,48368
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,40 - 44,67364,53.18,TOTAL LITERATE,35821
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,45 - 49,55441,46.1,TOTAL LITERATE,25556
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,50 - 54,50946,42.44,TOTAL LITERATE,21619
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,55 - 59,35898,39.39,TOTAL LITERATE,14142
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,60 - 64,29931,34.41,TOTAL LITERATE,10300
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,65 - 69,20675,28.4,TOTAL LITERATE,5871
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,70 - 74,17779,24.86,TOTAL LITERATE,4419
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,22833,20.93,TOTAL LITERATE,4780
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1001600,63.71,FORMAL LITERATE,632661
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 - 14,155072,85.53,FORMAL LITERATE,132442
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,15 - 19,140376,80.61,FORMAL LITERATE,112906
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,20 - 24,124268,74.19,FORMAL LITERATE,91725
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,25 - 29,105266,67.64,FORMAL LITERATE,70611
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,30 - 34,92407,62.87,FORMAL LITERATE,57514
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,35 - 39,83344,58.03,FORMAL LITERATE,47817
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,40 - 44,67364,53.18,FORMAL LITERATE,35351
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,45 - 49,55441,46.1,FORMAL LITERATE,25110
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,50 - 54,50946,42.44,FORMAL LITERATE,21193
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,55 - 59,35898,39.39,FORMAL LITERATE,13839
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,60 - 64,29931,34.41,FORMAL LITERATE,9906
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,65 - 69,20675,28.4,FORMAL LITERATE,5619
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,70 - 74,17779,24.86,FORMAL LITERATE,4194
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,22833,20.93,FORMAL LITERATE,4434
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1001600,63.71,INFORMAL LITERATE,5491
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,10 - 14,155072,85.53,INFORMAL LITERATE,184
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,15 - 19,140376,80.61,INFORMAL LITERATE,257
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,20 - 24,124268,74.19,INFORMAL LITERATE,467
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,25 - 29,105266,67.64,INFORMAL LITERATE,588
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,30 - 34,92407,62.87,INFORMAL LITERATE,582
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,35 - 39,83344,58.03,INFORMAL LITERATE,551
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,40 - 44,67364,53.18,INFORMAL LITERATE,470
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,45 - 49,55441,46.1,INFORMAL LITERATE,446
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,50 - 54,50946,42.44,INFORMAL LITERATE,426
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,55 - 59,35898,39.39,INFORMAL LITERATE,303
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,60 - 64,29931,34.41,INFORMAL LITERATE,394
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,65 - 69,20675,28.4,INFORMAL LITERATE,252
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,70 - 74,17779,24.86,INFORMAL LITERATE,225
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,22833,20.93,INFORMAL LITERATE,346
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,10 AND ABOVE,509395,70.63,ILLITERATE,149619
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,10 - 14,79951,87.14,ILLITERATE,10280
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,15 - 19,71790,83.48,ILLITERATE,11858
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,20 - 24,61751,78.77,ILLITERATE,13111
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,25 - 29,50426,73.94,ILLITERATE,13140
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,30 - 34,45260,71.34,ILLITERATE,12972
