province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 AND ABOVE,760366
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 AND ABOVE,604568
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 AND ABOVE,155798
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 AND ABOVE,385496
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 AND ABOVE,341528
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 AND ABOVE,43968
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 AND ABOVE,374723
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 AND ABOVE,262947
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 AND ABOVE,111776
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,18 AND ABOVE,147
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,18 AND ABOVE,93
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,18 AND ABOVE,54
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 - 19,54452
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 - 19,21785
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 - 19,32667
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 - 19,27961
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 - 19,14060
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 - 19,13901
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 - 19,26484
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 - 19,7724
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 - 19,18760
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,18 - 19,7
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,18 - 19,1
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,18 - 19,6
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,20 - 24,124234
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,20 - 24,78883
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,20 - 24,45351
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,TOTAL POPULATION,20 - 24,61742
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,CNIC OBTAINED,20 - 24,49089
