province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
PUNJAB,055,NANKANA SAHIB DISTRICT,NA,NA,NA,YES,NANKANA SAHIB DISTRICT,NA,1109862,565930,543831,101,60.59,68.21,52.69,42.57,152303,113320,26,72553,47574,9,13061,12124,1,1074215,35647,816109,618079,76704,251458,481894,548695
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,NA,NA,YES,NANKANA SAHIB TEHSIL,NA,773871,396393,377408,70,55.71,64.52,46.48,38.57,101345,70097,17,44343,25296,3,8564,6141,1,758295,15576,562969,424398,51905,175410,321773,411292
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,NA,YES,BARA GHAR QH,NA,104449,53090,51353,6,54.52,64.8,43.94,33.33,13058,8506,2,5600,2977,0,1219,791,0,104095,354,75311,56968,7001,23993,42411,41709
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BARA GHAR PC,YES,BARA GHAR PC,NA,12677,6357,6320,0,56.03,64.86,47.18,0,1463,972,0,720,358,0,156,120,0,12557,120,9311,7107,944,3290,5617,3191
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BARA GHAR PC,NO,BARA GHAR,0000280,5153,2578,2575,0,68.01,77.37,58.51,0,666,412,0,344,159,0,100,84,0,5147,6,3764,2928,390,1148,2337,1166
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BARA GHAR PC,NO,CHAK NO 063/10,0000291,6410,3205,3205,0,48.15,55.49,40.94,0,643,480,0,329,187,0,50,34,0,6296,114,4725,3588,478,1854,2884,1658
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BARA GHAR PC,NO,LUDA GHAR,0000282,1114,574,540,0,46.47,60.61,31.41,0,154,80,0,47,12,0,6,2,0,1114,0,822,591,76,288,396,367
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BUCHE KE PC,YES,BUCHE KE PC,NA,36131,18436,17692,3,61.78,69.52,53.71,33.33,4958,3720,1,2302,1571,0,575,431,0,35966,165,26018,19498,1946,9302,15053,4445
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BUCHE KE PC,NO,ARAZI BACHEKE,0000070,15302,7819,7481,2,65.97,72.82,58.84,50,2178,1744,1,1080,808,0,256,232,0,15242,60,11142,8331,818,4172,6417,370
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,BARA GHAR QH,BUCHE KE PC,NO,BUCHE KE,0000069,18727,9554,9172,1,58.1,66.91,48.83,0,2490,1704,0,1036,630,0,307,190,0,18622,105,13352,10013,988,4625,7649,2603
