province_name,district_code,district_name,area_name,area_type,gender,count
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,ALL SEXES,187428
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,MALE,176704
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,FEMALE,10718
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,TRANSGENDER,6
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,RURAL,ALL SEXES,154446
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,RURAL,MALE,145808
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,RURAL,FEMALE,8636
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,RURAL,TRANSGENDER,2
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,URBAN,ALL SEXES,32982
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,URBAN,MALE,30896
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,URBAN,FEMALE,2082
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,URBAN,TRANSGENDER,4
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,ALL SEXES,120256
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,MALE,114250
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,FEMALE,6003
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,TRANSGENDER,3
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,RURAL,ALL SEXES,105039
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,RURAL,MALE,99887
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,RURAL,FEMALE,5152
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,RURAL,TRANSGENDER,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,URBAN,ALL SEXES,15217
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,URBAN,MALE,14363
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,URBAN,FEMALE,851
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,URBAN,TRANSGENDER,3
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,TOTAL,ALL SEXES,32622
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,TOTAL,MALE,30534
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,TOTAL,FEMALE,2086
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,TOTAL,TRANSGENDER,2
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,RURAL,ALL SEXES,24356
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,RURAL,MALE,22764
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,RURAL,FEMALE,1591
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,RURAL,TRANSGENDER,1
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,URBAN,ALL SEXES,8266
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,URBAN,MALE,7770
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,URBAN,FEMALE,495
PUNJAB,055,NANKANA SAHIB DISTRICT,SANGLA HILL TEHSIL,URBAN,TRANSGENDER,1
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,TOTAL,ALL SEXES,34550
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,TOTAL,MALE,31920
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,TOTAL,FEMALE,2629
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,TOTAL,TRANSGENDER,1
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,RURAL,ALL SEXES,25051
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,RURAL,MALE,23157
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,RURAL,FEMALE,1893
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,RURAL,TRANSGENDER,1
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,URBAN,ALL SEXES,9499
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,URBAN,MALE,8763
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,URBAN,FEMALE,736
PUNJAB,055,NANKANA SAHIB DISTRICT,SHAH KOT TEHSIL,URBAN,TRANSGENDER,0
