province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,ALL SEXES,3460004,78489,435178,887987,1370178,1580024,720849,1004015,1759648,NA,1757401,1937113,198155,129969
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,MALE,1786383,40274,222205,455592,704553,812645,368877,510361,899274,NA,906337,1003875,107673,70544
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,FEMALE,1673242,38215,212973,432395,665615,767287,351880,493499,860059,NA,850748,932889,90442,59396
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,TRANSGENDER,379,0,0,0,10,92,92,155,315,NA,316,349,40,29
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,ALL SEXES,2258491,51923,289106,592947,913302,1043158,469031,648786,1130855,NA,1125056,1245404,132491,88543
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,MALE,1169824,26714,147667,304143,469725,537660,241116,331847,581084,NA,583751,649155,72106,48248
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,FEMALE,1088461,25209,141439,288804,443572,505449,227866,316856,549602,NA,541134,596060,60362,40279
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,RURAL,TRANSGENDER,206,0,0,0,5,49,49,83,169,NA,171,189,23,16
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,URBAN,ALL SEXES,1201513,26566,146072,295040,456876,536866,251818,355229,628793,NA,632345,691709,65664,41426
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,URBAN,MALE,616559,13560,74538,151449,234828,274985,127761,178514,318190,NA,322586,354720,35567,22296
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,URBAN,FEMALE,584781,13006,71534,143591,222043,261838,124014,176643,310457,NA,309614,336829,30080,19117
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,URBAN,TRANSGENDER,173,0,0,0,5,43,43,72,146,NA,145,160,17,13
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,TOTAL,ALL SEXES,794489,18593,105188,212057,322465,365363,165103,231903,405434,NA,402458,437571,39449,24939
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,TOTAL,MALE,412579,9521,53684,108988,165997,188921,85360,119029,209511,NA,209325,228588,21685,13738
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,TOTAL,FEMALE,381815,9072,51504,103069,156465,176424,79725,112840,195846,NA,193053,208893,17750,11192
