province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
PUNJAB,056,SHEIKHUPURA DISTRICT,NA,NA,NA,YES,SHEIKHUPURA DISTRICT,NA,2258491,1169824,1088461,206,62.91,67.48,57.97,40.78,315829,250303,40,147982,110130,24,24332,24664,2,2162814,95677,1665544,1245404,132491,530905,938785,970555
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,NA,NA,YES,FEROZEWALA TEHSIL,NA,510209,265244,244918,47,63.28,66.49,59.77,44.68,65520,53195,10,34424,28178,6,6906,6849,0,492562,17647,373270,279611,25421,121917,209208,112106
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,NA,YES,ABUL KHAIR QH,NA,91480,48010,43469,1,53.92,57.49,49.89,0,10188,7912,0,4866,3559,0,1008,877,0,88246,3234,66442,49621,4695,26615,35860,28290
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,BANSI NAGAR PC,YES,BANSI NAGAR PC,NA,2936,1509,1427,0,48.76,53.78,43.28,0,344,269,0,129,71,0,8,9,0,2863,73,2129,1595,182,856,1171,2958
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,BANSI NAGAR PC,NO,BANSI NAGAR,0000072,2936,1509,1427,0,48.76,53.78,43.28,0,344,269,0,129,71,0,8,9,0,2863,73,2129,1595,182,856,1171,2958
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,BURJ ATARI PC,YES,BURJ ATARI PC,NA,16738,8582,8156,0,63.31,67.27,59.06,0,1991,1562,0,1227,1042,0,334,323,0,16418,320,12355,9324,930,4834,6870,4158
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,BURJ ATARI PC,NO,BURJ ATARI,0000390,12592,6433,6159,0,66.82,70.77,62.63,0,1506,1227,0,1020,875,0,280,272,0,12300,292,9348,7081,678,3552,5284,2197
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,BURJ ATARI PC,NO,SAGGIAN KALAN PAR,0000389,1054,531,523,0,43.56,47.93,39.16,0,98,78,0,43,27,0,3,4,0,1026,28,769,591,81,322,437,483
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,BURJ ATARI PC,NO,SAGGIAN KHURD,0000391,3092,1618,1474,0,55.45,59.49,50.73,0,387,257,0,164,140,0,51,47,0,3092,0,2238,1652,171,960,1149,1478
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,GALO PC,YES,GALO PC,NA,4682,2441,2241,0,27.51,29.59,25.28,0,351,293,0,104,49,0,7,7,0,4315,367,3359,2417,245,586,1513,3842
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,GALO PC,NO,CHAH MANGOLA,0000071,449,217,232,0,41.16,42.59,39.76,0,38,43,0,14,2,0,1,1,0,443,6,328,236,26,123,120,169
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,ABUL KHAIR QH,GALO PC,NO,DHINGAN,0000073,1300,686,614,0,49.69,49.5,49.9,0,184,174,0,32,27,0,2,1,0,1076,224,974,722,69,438,432,1617
