province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,WALL,BAKED BRICKS/BLOCKS/STONES,419796,95.23,8565
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,WALL,UNBAKED BRICKS/MUD,13287,3.01,519
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,WALL,WOOD/BAMBOO,2653,0.6,118
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,WALL,OTHERS,5096,1.16,241
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,ROOF,RCC/RBC,187018,42.42,4707
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,ROOF,CEMENT/IRON SHEETS,25737,5.84,829
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,ROOF,GARDER/T.IRON,132271,30,2238
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,ROOF,WOOD/BAMBOO,88816,20.15,1406
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,UNDER CONSTRUCTION,9443,2.14,ROOF,OTHERS,6990,1.59,263
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,LESS THAN 5 YEARS,68998,15.65,WALL,BAKED BRICKS/BLOCKS/STONES,419796,95.23,65055
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,LESS THAN 5 YEARS,68998,15.65,WALL,UNBAKED BRICKS/MUD,13287,3.01,2406
