province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,058,CHINIOT DISTRICT,NA,NA,NA,YES,CHINIOT DISTRICT,67886,53324,12134,2428,61664,66054,43629,44722,62464,64390,6.15
PUNJAB,058,CHINIOT DISTRICT,BHAWANA TEHSIL,NA,NA,YES,BHAWANA TEHSIL,5296,4655,432,209,5120,5136,987,3196,4589,4676,6.35
PUNJAB,058,CHINIOT DISTRICT,BHAWANA TEHSIL,BHAWANA MC,NA,YES,BHAWANA MC,5296,4655,432,209,5120,5136,987,3196,4589,4676,6.35
PUNJAB,058,CHINIOT DISTRICT,BHAWANA TEHSIL,BHAWANA MC,CHARGE NO 05,YES,CHARGE NO 05,5296,4655,432,209,5120,5136,987,3196,4589,4676,6.35
PUNJAB,058,CHINIOT DISTRICT,BHAWANA TEHSIL,BHAWANA MC,CHARGE NO 05,NO,CIRCLE NO 01,3126,2735,258,133,3031,3011,401,1848,2579,2623,6.22
PUNJAB,058,CHINIOT DISTRICT,BHAWANA TEHSIL,BHAWANA MC,CHARGE NO 05,NO,CIRCLE NO 02,2170,1920,174,76,2089,2125,586,1348,2010,2053,6.52
PUNJAB,058,CHINIOT DISTRICT,CHINIOT TEHSIL,NA,NA,YES,CHINIOT TEHSIL,42316,33975,6538,1803,40066,41021,26950,25555,38883,40242,6.52
PUNJAB,058,CHINIOT DISTRICT,CHINIOT TEHSIL,CHINIOT MC,NA,YES,CHINIOT MC,42316,33975,6538,1803,40066,41021,26950,25555,38883,40242,6.52
PUNJAB,058,CHINIOT DISTRICT,CHINIOT TEHSIL,CHINIOT MC,CHARGE NO 05,YES,CHARGE NO 05,10566,8644,1246,676,10045,10138,6170,6149,9281,9753,6.58
PUNJAB,058,CHINIOT DISTRICT,CHINIOT TEHSIL,CHINIOT MC,CHARGE NO 05,NO,CIRCLE NO 01,3014,2413,416,185,2878,2939,2235,1988,2829,2975,7
