province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,15620,4.09,BAKED BRICKS/BLOCKS/STONES,2893,0.76,317
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,15620,4.09,UNBAKED BRICKS/MUD,448,0.12,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,15620,4.09,WOOD/BAMBOO,48,0.01,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,15620,4.09,OTHERS,113,0.03,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,15620,4.09,BAKED BRICKS/BLOCKS/STONES,49909,13.06,3647
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,15620,4.09,UNBAKED BRICKS/MUD,8792,2.3,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,15620,4.09,WOOD/BAMBOO,418,0.11,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,15620,4.09,OTHERS,1098,0.29,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,15620,4.09,BAKED BRICKS/BLOCKS/STONES,100046,26.18,4495
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,15620,4.09,UNBAKED BRICKS/MUD,16681,4.37,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,15620,4.09,WOOD/BAMBOO,626,0.16,0
PUNJAB,059,JHANG DISTRICT,JHANG DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,15620,4.09,OTHERS,2005,0.52,0
