province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,524,ALL SEXES,1997327
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,524,MALE,1015001
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,524,FEMALE,982140
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,524,TRANSGENDER,186
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"5,000 AND ABOVE",137,ALL SEXES,996382
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"5,000 AND ABOVE",137,MALE,507640
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"5,000 AND ABOVE",137,FEMALE,488641
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"5,000 AND ABOVE",137,TRANSGENDER,101
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"2,000 - 4,999",253,ALL SEXES,873277
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"2,000 - 4,999",253,MALE,442402
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"2,000 - 4,999",253,FEMALE,430798
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"2,000 - 4,999",253,TRANSGENDER,77
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"1,000 - 1,999",62,ALL SEXES,94379
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"1,000 - 1,999",62,MALE,48051
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"1,000 - 1,999",62,FEMALE,46323
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,"1,000 - 1,999",62,TRANSGENDER,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,500 - 999,30,ALL SEXES,23281
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,500 - 999,30,MALE,11801
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,500 - 999,30,FEMALE,11477
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,500 - 999,30,TRANSGENDER,3
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,200 - 499,24,ALL SEXES,8932
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,200 - 499,24,MALE,4537
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,200 - 499,24,FEMALE,4395
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,200 - 499,24,TRANSGENDER,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,LESS THAN 200,12,ALL SEXES,1076
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,LESS THAN 200,12,MALE,570
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,LESS THAN 200,12,FEMALE,506
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,LESS THAN 200,12,TRANSGENDER,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,UN-INHABITED,6,ALL SEXES,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,UN-INHABITED,6,MALE,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,UN-INHABITED,6,FEMALE,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,UN-INHABITED,6,TRANSGENDER,0
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,241,ALL SEXES,929447
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,241,MALE,467889
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,241,FEMALE,461454
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,241,TRANSGENDER,104
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,"5,000 AND ABOVE",57,ALL SEXES,395266
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,"5,000 AND ABOVE",57,MALE,199072
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,"5,000 AND ABOVE",57,FEMALE,196137
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,"5,000 AND ABOVE",57,TRANSGENDER,57
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,"2,000 - 4,999",141,ALL SEXES,489623
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,"2,000 - 4,999",141,MALE,246146
