province_name,district_code,district_name,area_name,area_type,gender,count
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,BOTH SEXES,45535
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,MALE,35405
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,FEMALE,10130
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,BOTH SEXES,32780
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,MALE,25788
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,FEMALE,6992
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,BOTH SEXES,12755
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,MALE,9617
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,FEMALE,3138
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,BOTH SEXES,21177
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,MALE,17063
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,TOTAL,FEMALE,4114
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,RURAL,BOTH SEXES,18407
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,RURAL,MALE,14836
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,RURAL,FEMALE,3571
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,URBAN,BOTH SEXES,2770
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,URBAN,MALE,2227
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,URBAN,FEMALE,543
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,TOTAL,BOTH SEXES,24358
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,TOTAL,MALE,18342
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,TOTAL,FEMALE,6016
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,RURAL,BOTH SEXES,14373
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,RURAL,MALE,10952
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,RURAL,FEMALE,3421
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,URBAN,BOTH SEXES,9985
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,URBAN,MALE,7390
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL TEHSIL,URBAN,FEMALE,2595
