province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,061,SAHIWAL DISTRICT,NA,NA,NA,YES,SAHIWAL DISTRICT,NA,309329,260089,28775,20465,269968,290925,26118,156000,259418,255647,6.41
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,NA,NA,YES,CHICHAWATNI TEHSIL,NA,145157,122219,13086,9852,122849,137650,11032,75529,126865,127437,6.36
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,NA,YES,CHICHAWATNI QH,NA,30017,24701,3494,1822,23661,28570,5500,18088,27644,27565,6.3
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 010/11-L PC,YES,CHAK NO 010/11-L PC,NA,2039,1569,338,132,1007,2000,120,1025,1896,1943,6.52
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 010/11-L PC,NO,CHAK NO 010/11-L,0000325,965,794,101,70,457,939,5,408,876,903,6.46
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 010/11-L PC,NO,CHAK NO 011/11-L,0000326,546,444,60,42,313,536,12,303,511,520,6.81
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 010/11-L PC,NO,CHAK NO 035/12-L,0000346,528,331,177,20,237,525,103,314,509,520,6.34
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 015/11-L PC,YES,CHAK NO 015/11-L PC,NA,1298,1041,179,78,902,1253,66,853,1244,1249,6.38
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 015/11-L PC,NO,CHAK NO 014/11-L,0000329,731,632,68,31,352,713,32,456,712,709,6.28
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 015/11-L PC,NO,CHAK NO 015/11-L,0000330,567,409,111,47,550,540,34,397,532,540,6.51
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 039/12-L PC,YES,CHAK NO 039/12-L PC,NA,3711,3060,440,211,1557,3574,2061,2420,3535,3586,6.31
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 039/12-L PC,NO,CHAK NO 036/12-L,0000347,430,364,42,24,361,414,98,165,409,413,7.11
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 039/12-L PC,NO,CHAK NO 037/12-L,0000348,362,258,56,48,188,342,147,196,315,313,6.36
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 039/12-L PC,NO,CHAK NO 038/12-L,0000349,639,517,74,48,334,611,298,465,607,619,6.93
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 039/12-L PC,NO,CHAK NO 039/12-L,0000350,2280,1921,268,91,674,2207,1518,1594,2204,2241,5.97
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 040/12-L PC,YES,CHAK NO 040/12-L PC,NA,3299,2994,231,74,2924,3158,1211,2307,3163,3152,6.16
PUNJAB,061,SAHIWAL DISTRICT,CHICHAWATNI TEHSIL,CHICHAWATNI QH,CHAK NO 040/12-L PC,NO,CHAK NO 040/12-L,0000351,1510,1376,92,42,1410,1431,882,1178,1458,1423,5.83
