province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,INSIDE WATER,TOTAL INSIDE,347484,88.72,306916
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,INSIDE WATER,TAP,41940,10.71,35767
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,INSIDE WATER,ELECTRIC/HAND PUMP,296798,75.78,264819
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,INSIDE WATER,PROTECTED WELL,466,0.12,367
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,INSIDE WATER,UN-PROTECTED WELL,311,0.08,259
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,INSIDE WATER,OTHERS,7969,2.03,5704
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,TOTAL OUTSIDE,44189,11.28,36169
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,TAP,11185,2.86,8969
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,ELECTRIC/HAND PUMP,15332,3.91,12690
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,PROTECTED WELL,90,0.02,23
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,UN-PROTECTED WELL,22,0.01,16
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,SPRING,57,0.01,45
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,CANAL/RIVER/POND,129,0.03,111
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,OUTSIDE WATER,OTHERS,17374,4.44,14315
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,COOKING FUEL,WOOD,294604,75.22,8969
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,COOKING FUEL,GAS,89652,22.89,12690
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,COOKING FUEL,KEROSENE OIL,250,0.06,23
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,COOKING FUEL,OTHERS,7167,1.83,16
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,LIGHTING SOURCE,ELECTRICITY,294604,75.22,265496
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,LIGHTING SOURCE,KEROSENE OIL,89652,22.89,72101
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,LIGHTING SOURCE,GAS LAMP,250,0.06,192
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,OWNED,343085,87.59,LIGHTING SOURCE,OTHERS,7167,1.83,5296
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,INSIDE WATER,TOTAL INSIDE,347484,88.72,20781
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,INSIDE WATER,TAP,41940,10.71,2178
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,INSIDE WATER,ELECTRIC/HAND PUMP,296798,75.78,18055
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,INSIDE WATER,PROTECTED WELL,466,0.12,31
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,INSIDE WATER,UN-PROTECTED WELL,311,0.08,9
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,INSIDE WATER,OTHERS,7969,2.03,508
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,TOTAL OUTSIDE,44189,11.28,3664
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,TAP,11185,2.86,810
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,ELECTRIC/HAND PUMP,15332,3.91,820
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,PROTECTED WELL,90,0.02,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,UN-PROTECTED WELL,22,0.01,1
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,SPRING,57,0.01,3
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,CANAL/RIVER/POND,129,0.03,3
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,OUTSIDE WATER,OTHERS,17374,4.44,2022
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,COOKING FUEL,WOOD,294604,75.22,810
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,COOKING FUEL,GAS,89652,22.89,820
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,COOKING FUEL,KEROSENE OIL,250,0.06,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,COOKING FUEL,OTHERS,7167,1.83,1
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,LIGHTING SOURCE,ELECTRICITY,294604,75.22,8886
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,LIGHTING SOURCE,KEROSENE OIL,89652,22.89,14665
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,LIGHTING SOURCE,GAS LAMP,250,0.06,27
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENTED,24445,6.24,LIGHTING SOURCE,OTHERS,7167,1.83,867
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,INSIDE WATER,TOTAL INSIDE,347484,88.72,19787
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,INSIDE WATER,TAP,41940,10.71,3995
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,INSIDE WATER,ELECTRIC/HAND PUMP,296798,75.78,13924
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,INSIDE WATER,PROTECTED WELL,466,0.12,68
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,INSIDE WATER,UN-PROTECTED WELL,311,0.08,43
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,INSIDE WATER,OTHERS,7969,2.03,1757
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,TOTAL OUTSIDE,44189,11.28,4356
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,TAP,11185,2.86,1406
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,ELECTRIC/HAND PUMP,15332,3.91,1822
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,PROTECTED WELL,90,0.02,62
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,UN-PROTECTED WELL,22,0.01,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,SPRING,57,0.01,9
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,CANAL/RIVER/POND,129,0.03,15
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,OUTSIDE WATER,OTHERS,17374,4.44,1037
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,COOKING FUEL,WOOD,294604,75.22,1406
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,COOKING FUEL,GAS,89652,22.89,1822
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,COOKING FUEL,KEROSENE OIL,250,0.06,62
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,COOKING FUEL,OTHERS,7167,1.83,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,LIGHTING SOURCE,ELECTRICITY,294604,75.22,20222
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,LIGHTING SOURCE,KEROSENE OIL,89652,22.89,2886
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,LIGHTING SOURCE,GAS LAMP,250,0.06,31
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,TOTAL,RENT FREE,24143,6.16,LIGHTING SOURCE,OTHERS,7167,1.83,1004
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,INSIDE WATER,TOTAL INSIDE,277216,89.62,252947
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,INSIDE WATER,TAP,35686,11.54,31028
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,INSIDE WATER,ELECTRIC/HAND PUMP,233879,75.61,216232
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,INSIDE WATER,PROTECTED WELL,403,0.13,323
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,INSIDE WATER,UN-PROTECTED WELL,255,0.08,216
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,INSIDE WATER,OTHERS,6993,2.26,5148
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,TOTAL OUTSIDE,32113,10.38,27625
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,TAP,8752,2.83,7332
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,ELECTRIC/HAND PUMP,12933,4.18,11180
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,PROTECTED WELL,84,0.03,18
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,UN-PROTECTED WELL,19,0.01,14
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,SPRING,44,0.01,36
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,CANAL/RIVER/POND,126,0.04,110
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,OUTSIDE WATER,OTHERS,10155,3.28,8935
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,COOKING FUEL,WOOD,278055,89.89,7332
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,COOKING FUEL,GAS,26118,8.44,11180
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,COOKING FUEL,KEROSENE OIL,172,0.06,18
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,COOKING FUEL,OTHERS,4984,1.61,14
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,LIGHTING SOURCE,ELECTRICITY,278055,89.89,253403
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,LIGHTING SOURCE,KEROSENE OIL,26118,8.44,23155
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,LIGHTING SOURCE,GAS LAMP,172,0.06,140
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,OWNED,280572,90.7,LIGHTING SOURCE,OTHERS,4984,1.61,3874
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,INSIDE WATER,TOTAL INSIDE,277216,89.62,7365
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,INSIDE WATER,TAP,35686,11.54,969
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,INSIDE WATER,ELECTRIC/HAND PUMP,233879,75.61,6141
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,INSIDE WATER,PROTECTED WELL,403,0.13,13
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,INSIDE WATER,UN-PROTECTED WELL,255,0.08,2
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,INSIDE WATER,OTHERS,6993,2.26,240
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,TOTAL OUTSIDE,32113,10.38,880
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,TAP,8752,2.83,241
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,ELECTRIC/HAND PUMP,12933,4.18,170
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,PROTECTED WELL,84,0.03,4
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,UN-PROTECTED WELL,19,0.01,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,SPRING,44,0.01,2
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,CANAL/RIVER/POND,126,0.04,1
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,OUTSIDE WATER,OTHERS,10155,3.28,462
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,COOKING FUEL,WOOD,278055,89.89,241
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,COOKING FUEL,GAS,26118,8.44,170
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,COOKING FUEL,KEROSENE OIL,172,0.06,4
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,COOKING FUEL,OTHERS,4984,1.61,0
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,LIGHTING SOURCE,ELECTRICITY,278055,89.89,5778
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,LIGHTING SOURCE,KEROSENE OIL,26118,8.44,2148
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,LIGHTING SOURCE,GAS LAMP,172,0.06,10
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENTED,8245,2.67,LIGHTING SOURCE,OTHERS,4984,1.61,309
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,INSIDE WATER,TOTAL INSIDE,277216,89.62,16904
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,INSIDE WATER,TAP,35686,11.54,3689
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,INSIDE WATER,ELECTRIC/HAND PUMP,233879,75.61,11506
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,INSIDE WATER,PROTECTED WELL,403,0.13,67
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,INSIDE WATER,UN-PROTECTED WELL,255,0.08,37
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,INSIDE WATER,OTHERS,6993,2.26,1605
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,TOTAL OUTSIDE,32113,10.38,3608
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,TAP,8752,2.83,1179
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,ELECTRIC/HAND PUMP,12933,4.18,1583
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,PROTECTED WELL,84,0.03,62
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,UN-PROTECTED WELL,19,0.01,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,SPRING,44,0.01,6
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,CANAL/RIVER/POND,126,0.04,15
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,OUTSIDE WATER,OTHERS,10155,3.28,758
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,COOKING FUEL,WOOD,278055,89.89,1179
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,COOKING FUEL,GAS,26118,8.44,1583
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,COOKING FUEL,KEROSENE OIL,172,0.06,62
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,COOKING FUEL,OTHERS,4984,1.61,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,LIGHTING SOURCE,ELECTRICITY,278055,89.89,18874
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,LIGHTING SOURCE,KEROSENE OIL,26118,8.44,815
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,LIGHTING SOURCE,GAS LAMP,172,0.06,22
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,RURAL,RENT FREE,20512,6.63,LIGHTING SOURCE,OTHERS,4984,1.61,801
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,INSIDE WATER,TOTAL INSIDE,70268,85.33,53969
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,INSIDE WATER,TAP,6254,7.59,4739
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,INSIDE WATER,ELECTRIC/HAND PUMP,62919,76.41,48587
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,INSIDE WATER,PROTECTED WELL,63,0.08,44
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,INSIDE WATER,UN-PROTECTED WELL,56,0.07,43
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,INSIDE WATER,OTHERS,976,1.19,556
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,TOTAL OUTSIDE,12076,14.67,8544
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,TAP,2433,2.95,1637
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,ELECTRIC/HAND PUMP,2399,2.91,1510
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,PROTECTED WELL,6,0.01,5
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,UN-PROTECTED WELL,3,0,2
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,SPRING,13,0.02,9
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,CANAL/RIVER/POND,3,0,1
PUNJAB,061,SAHIWAL DISTRICT,SAHIWAL DISTRICT,URBAN,OWNED,62513,75.92,OUTSIDE WATER,OTHERS,7219,8.77,5380
