province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,1,412544,84.61,160374,32.89,127294
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,1,28863,5.92,160374,32.89,8979
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,1,46169,9.47,160374,32.89,24101
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,2,412544,84.61,178684,36.65,150792
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,2,28863,5.92,178684,36.65,12084
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,2,46169,9.47,178684,36.65,15808
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,3,412544,84.61,82570,16.93,73083
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,3,28863,5.92,82570,16.93,5426
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,3,46169,9.47,82570,16.93,4061
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,4,412544,84.61,37038,7.6,34274
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,4,28863,5.92,37038,7.6,1442
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,4,46169,9.47,37038,7.6,1322
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,5,412544,84.61,14216,2.92,13399
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,5,28863,5.92,14216,2.92,486
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,5,46169,9.47,14216,2.92,331
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,6,412544,84.61,7102,1.46,6691
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,6,28863,5.92,7102,1.46,200
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,6,46169,9.47,7102,1.46,211
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,7,412544,84.61,3859,0.79,3493
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,7,28863,5.92,3859,0.79,149
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENT FREE,7,46169,9.47,3859,0.79,217
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,OWNED,8,412544,84.61,1757,0.36,1677
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RENTED,8,28863,5.92,1757,0.36,30
