province_name,district_code,district_name,area_name,area_type,information_source,count
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,461920
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,RADIO,8182
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,TV,310032
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,NEWSPAPER,23791
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,MOBILE,11296
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,TOTAL,COMPUTER/INTERNET,454014
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,331995
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,RADIO,4711
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,TV,201251
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,NEWSPAPER,10623
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,MOBILE,3159
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,RURAL,COMPUTER/INTERNET,325796
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,129925
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,RADIO,3471
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,TV,108781
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,NEWSPAPER,13168
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,MOBILE,8137
PUNJAB,062,OKARA DISTRICT,OKARA DISTRICT,URBAN,COMPUTER/INTERNET,128218
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,210491
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,TOTAL,RADIO,2530
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,TOTAL,TV,127415
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,TOTAL,NEWSPAPER,9587
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,TOTAL,MOBILE,2420
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,TOTAL,COMPUTER/INTERNET,206928
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,156122
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,RURAL,RADIO,2113
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,RURAL,TV,85811
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,RURAL,NEWSPAPER,4712
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,RURAL,MOBILE,1236
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,RURAL,COMPUTER/INTERNET,153331
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,54369
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,URBAN,RADIO,417
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,URBAN,TV,41604
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,URBAN,NEWSPAPER,4875
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,URBAN,MOBILE,1184
PUNJAB,062,OKARA DISTRICT,DEPALPUR TEHSIL,URBAN,COMPUTER/INTERNET,53597
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,177011
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,TOTAL,RADIO,4568
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,TOTAL,TV,133305
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,TOTAL,NEWSPAPER,11276
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,TOTAL,MOBILE,7731
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,TOTAL,COMPUTER/INTERNET,173752
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,110460
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,RURAL,RADIO,1626
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,RURAL,TV,73390
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,RURAL,NEWSPAPER,4048
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,RURAL,MOBILE,1383
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,RURAL,COMPUTER/INTERNET,108032
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,66551
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,URBAN,RADIO,2942
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,URBAN,TV,59915
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,URBAN,NEWSPAPER,7228
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,URBAN,MOBILE,6348
PUNJAB,062,OKARA DISTRICT,OKARA TEHSIL,URBAN,COMPUTER/INTERNET,65720
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,74418
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,TOTAL,RADIO,1084
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,TOTAL,TV,49312
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,TOTAL,NEWSPAPER,2928
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,TOTAL,MOBILE,1145
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,TOTAL,COMPUTER/INTERNET,73334
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,65413
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,RURAL,RADIO,972
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,RURAL,TV,42050
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,RURAL,NEWSPAPER,1863
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,RURAL,MOBILE,540
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,RURAL,COMPUTER/INTERNET,64433
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,9005
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,URBAN,RADIO,112
PUNJAB,062,OKARA DISTRICT,RENALA KHURD TEHSIL,URBAN,TV,7262
