province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,1824228,256381,48393,50367,49577,53366,54678,259152,50467,51211,55033,51451,50990,206163,45558,44234,40616,38479,37276,177393,36138,36441,35562,34275,34977,155777,32124,33864,31536,29614,28639,140124,26466,28652,28382,26795,29829,121067,22819,27924,24059,22212,24053,113363,20273,24774,24642,20275,23399,86586,15217,21718,18713,15300,15638,75369,11987,16726,17263,13838,15555,66631,10901,16579,15240,12373,11538,48035,8451,11258,10964,8119,9243,38205,6146,9061,8200,7365,7433,30148,5347,6811,6379,5487,6124,22574,4122,5573,4670,4311,3898,27260
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,928110,131262,24878,25656,25392,27217,28119,133649,25937,26564,28262,26501,26385,107454,23769,22876,21164,20247,19398,91429,18846,19196,18963,17289,17135,76365,15872,16692,15284,14657,13860,67303,12699,13320,13661,13011,14612,59550,11181,13521,11413,11177,12258,57399,10414,12607,12222,10572,11584,43341,7757,10578,9054,7874,8078,38760,6221,8365,8563,7505,8106,35394,5761,8409,7841,6936,6447,25455,4714,5958,5496,4460,4827,19276,3184,4481,4080,3802,3729,15187,2650,3296,3129,2846,3266,11923,2119,2942,2421,2313,2128,14363
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,895899,125119,23515,24711,24185,26149,26559,125503,24530,24647,26771,24950,24605,98709,21789,21358,19452,18232,17878,85941,17291,17237,16594,16980,17839,79379,16247,17171,16237,14952,14772,72787,13757,15329,14714,13773,15214,61500,11631,14402,12643,11033,11791,55941,9849,12166,12417,9698,11811,43225,7450,11138,9655,7423,7559,36588,5758,8355,8696,6332,7447,31226,5138,8168,7395,5437,5088,22570,3732,5300,5466,3658,4414,18918,2957,4580,4118,3562,3701,14955,2696,3514,3249,2640,2856,10647,2000,2631,2249,1997,1770,12891
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,8,5,6,3,33,5,1,15,5,7,34,10,3,7,11,3,17,7,1,3,2,4,23,10,1,3,5,4,20,10,2,4,3,1,21,8,6,4,1,2,11,2,2,4,0,3,10,5,0,2,1,2,11,5,0,2,1,3,6,1,1,1,1,2,4,3,0,0,1,0,6
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,RURAL,ALL SEXES,1535236,218900,41343,42938,42237,45510,46872,222253,43350,43885,47165,44501,43352,174306,39309,37049,34539,32048,31361,147833,30212,30407,29309,29031,28874,128943,27121,27851,26200,24221,23550,116210,22263,23561,23410,22211,24765,100201,19044,23155,19815,18243,19944,94875,17022,20916,20788,16677,19472,71957,12546,18278,15706,12455,12972,62591,9886,13986,14518,11327,12874,55313,8965,13883,12753,10218,9494,40507,6968,9508,9431,6823,7777,32139,5132,7609,6915,6167,6316,26036,4542,5853,5536,4739,5366,19473,3538,4798,4036,3697,3404,23699
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,RURAL,MALE,781586,112072,21244,21884,21602,23231,24111,114594,22280,22772,24214,22908,22420,90931,20527,19194,18008,16899,16303,76304,15735,16036,15780,14612,14141,63405,13408,13760,12736,12067,11434,55821,10564,10955,11251,10847,12204,49176,9225,11219,9410,9165,10157,48199,8694,10720,10370,8729,9686,35838,6334,8863,7559,6396,6686,32217,5131,7001,7237,6168,6680,29357,4693,6992,6585,5779,5308,21372,3871,5017,4691,3750,4043,16216,2632,3780,3414,3186,3204,13193,2247,2851,2734,2459,2902,10330,1826,2526,2108,2010,1860,12561
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,RURAL,FEMALE,753517,106828,20099,21054,20635,22279,22761,107659,21070,21113,22951,21593,20932,83375,18782,17855,16531,15149,15058,71514,14476,14368,13524,14415,14731,65519,13709,14090,13455,12153,12112,60373,11696,12603,12156,11358,12560,51020,9817,11935,10405,9077,9786,46661,8321,10195,10416,7946,9783,36106,6207,9413,8144,6056,6286,30359,4749,6980,7279,5158,6193,25951,4270,6891,6166,4439,4185,19126,3093,4491,4738,3072,3732,15915,2497,3829,3499,2980,3110,12838,2294,3001,2801,2279,2463,9140,1709,2272,1928,1687,1544,11133
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,RURAL,TRANSGENDER,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,3,5,4,2,19,4,1,9,1,4,16,3,3,3,6,1,5,2,1,0,1,1,15,7,1,2,2,3,13,5,2,3,3,0,15,6,5,2,1,1,5,2,0,2,0,1,9,4,0,2,1,2,8,3,0,2,1,2,5,1,1,1,1,1,3,3,0,0,0,0,5
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,URBAN,ALL SEXES,288992,37481,7050,7429,7340,7856,7806,36899,7117,7326,7868,6950,7638,31857,6249,7185,6077,6431,5915,29560,5926,6034,6253,5244,6103,26834,5003,6013,5336,5393,5089,23914,4203,5091,4972,4584,5064,20866,3775,4769,4244,3969,4109,18488,3251,3858,3854,3598,3927,14629,2671,3440,3007,2845,2666,12778,2101,2740,2745,2511,2681,11318,1936,2696,2487,2155,2044,7528,1483,1750,1533,1296,1466,6066,1014,1452,1285,1198,1117,4112,805,958,843,748,758,3101,584,775,634,614,494,3561
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,URBAN,MALE,146524,19190,3634,3772,3790,3986,4008,19055,3657,3792,4048,3593,3965,16523,3242,3682,3156,3348,3095,15125,3111,3160,3183,2677,2994,12960,2464,2932,2548,2590,2426,11482,2135,2365,2410,2164,2408,10374,1956,2302,2003,2012,2101,9200,1720,1887,1852,1843,1898,7503,1423,1715,1495,1478,1392,6543,1090,1364,1326,1337,1426,6037,1068,1417,1256,1157,1139,4083,843,941,805,710,784,3060,552,701,666,616,525,1994,403,445,395,387,364,1593,293,416,313,303,268,1802
