province_name,district_code,district_name,area_name,area_type,gender,mother_tongue,count
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,TOTAL,1824228
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,URDU,46234
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,PUNJABI,1768392
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,SINDHI,205
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,PUSHTO,6720
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,BALOCHI,102
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,KASHMIRI,32
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,SARAIKI,1812
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,HINDKO,38
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,BRAHVI,29
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,ALL SEXES,OTHER,664
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,TOTAL,928110
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,URDU,23136
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,PUNJABI,899910
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,SINDHI,111
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,PUSHTO,3536
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,BALOCHI,51
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,KASHMIRI,19
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,SARAIKI,954
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,HINDKO,21
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,BRAHVI,18
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,MALE,OTHER,354
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,TOTAL,895899
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,URDU,23088
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,PUNJABI,868273
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,SINDHI,94
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,PUSHTO,3184
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,BALOCHI,51
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,KASHMIRI,13
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,SARAIKI,858
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,HINDKO,17
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,BRAHVI,11
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,FEMALE,OTHER,310
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,TOTAL,219
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,URDU,10
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,PUNJABI,209
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,SINDHI,0
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,PUSHTO,0
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,BALOCHI,0
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,KASHMIRI,0
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,SARAIKI,0
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,HINDKO,0
PUNJAB,063,PAKPATTAN DISTRICT,PAKPATTAN DISTRICT,TOTAL,TRANSGENDER,BRAHVI,0
