province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,45092,8.83,BAKED BRICKS/BLOCKS/STONES,4924,0.96,870
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,45092,8.83,UNBAKED BRICKS/MUD,1116,0.22,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,45092,8.83,WOOD/BAMBOO,133,0.03,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,RCC/RBC,45092,8.83,OTHERS,133,0.03,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,45092,8.83,BAKED BRICKS/BLOCKS/STONES,64607,12.65,10565
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,45092,8.83,UNBAKED BRICKS/MUD,15889,3.11,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,45092,8.83,WOOD/BAMBOO,1006,0.2,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,RCC/RBC,45092,8.83,OTHERS,1280,0.25,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,45092,8.83,BAKED BRICKS/BLOCKS/STONES,127816,25.02,13111
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,45092,8.83,UNBAKED BRICKS/MUD,37962,7.43,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,45092,8.83,WOOD/BAMBOO,1578,0.31,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,RCC/RBC,45092,8.83,OTHERS,1593,0.31,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,45092,8.83,BAKED BRICKS/BLOCKS/STONES,186478,36.5,20208
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,45092,8.83,UNBAKED BRICKS/MUD,56163,10.99,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,45092,8.83,WOOD/BAMBOO,1281,0.25,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,RCC/RBC,45092,8.83,OTHERS,2551,0.5,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,45092,8.83,BAKED BRICKS/BLOCKS/STONES,4505,0.88,338
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,45092,8.83,UNBAKED BRICKS/MUD,1633,0.32,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,45092,8.83,WOOD/BAMBOO,92,0.02,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,OVER 50 YEARS,RCC/RBC,45092,8.83,OTHERS,96,0.02,0
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,7206,1.41,BAKED BRICKS/BLOCKS/STONES,4924,0.96,175
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,7206,1.41,UNBAKED BRICKS/MUD,1116,0.22,73
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,7206,1.41,WOOD/BAMBOO,133,0.03,3
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,CEMENT/IRON SHEETS,7206,1.41,OTHERS,133,0.03,4
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,7206,1.41,BAKED BRICKS/BLOCKS/STONES,64607,12.65,1053
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,7206,1.41,UNBAKED BRICKS/MUD,15889,3.11,539
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,7206,1.41,WOOD/BAMBOO,1006,0.2,42
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,7206,1.41,OTHERS,1280,0.25,6
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,7206,1.41,BAKED BRICKS/BLOCKS/STONES,127816,25.02,1794
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,7206,1.41,UNBAKED BRICKS/MUD,37962,7.43,637
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,7206,1.41,WOOD/BAMBOO,1578,0.31,36
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,7206,1.41,OTHERS,1593,0.31,10
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,7206,1.41,BAKED BRICKS/BLOCKS/STONES,186478,36.5,1839
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,7206,1.41,UNBAKED BRICKS/MUD,56163,10.99,845
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,7206,1.41,WOOD/BAMBOO,1281,0.25,21
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,7206,1.41,OTHERS,2551,0.5,17
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,7206,1.41,BAKED BRICKS/BLOCKS/STONES,4505,0.88,73
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,7206,1.41,UNBAKED BRICKS/MUD,1633,0.32,37
