province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,WALL,BAKED BRICKS/BLOCKS/STONES,451557,72.91,7364
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,WALL,UNBAKED BRICKS/MUD,146285,23.62,2331
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,WALL,WOOD/BAMBOO,10793,1.74,332
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,WALL,OTHERS,10688,1.73,307
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,ROOF,RCC/RBC,39129,6.32,1187
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,ROOF,CEMENT/IRON SHEETS,9521,1.54,440
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,ROOF,GARDER/T.IRON,501475,80.97,7451
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,ROOF,WOOD/BAMBOO,59922,9.68,972
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,UNDER CONSTRUCTION,10334,1.67,ROOF,OTHERS,9276,1.5,284
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,WALL,BAKED BRICKS/BLOCKS/STONES,451557,72.91,78600
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,WALL,UNBAKED BRICKS/MUD,146285,23.62,26166
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,WALL,WOOD/BAMBOO,10793,1.74,3271
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,WALL,OTHERS,10688,1.73,2216
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,ROOF,RCC/RBC,39129,6.32,9800
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,ROOF,CEMENT/IRON SHEETS,9521,1.54,2629
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,ROOF,GARDER/T.IRON,501475,80.97,82710
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,ROOF,WOOD/BAMBOO,59922,9.68,13207
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,LESS THAN 5 YEARS,110253,17.8,ROOF,OTHERS,9276,1.5,1907
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,WALL,BAKED BRICKS/BLOCKS/STONES,451557,72.91,165643
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,WALL,UNBAKED BRICKS/MUD,146285,23.62,54671
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,WALL,WOOD/BAMBOO,10793,1.74,4135
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,WALL,OTHERS,10688,1.73,3777
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,ROOF,RCC/RBC,39129,6.32,11729
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,ROOF,CEMENT/IRON SHEETS,9521,1.54,3609
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,ROOF,GARDER/T.IRON,501475,80.97,187500
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,ROOF,WOOD/BAMBOO,59922,9.68,22074
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,5-10 YEARS,228226,36.85,ROOF,OTHERS,9276,1.5,3314
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,WALL,BAKED BRICKS/BLOCKS/STONES,451557,72.91,195932
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,WALL,UNBAKED BRICKS/MUD,146285,23.62,60838
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,WALL,WOOD/BAMBOO,10793,1.74,2867
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,WALL,OTHERS,10688,1.73,4249
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,ROOF,RCC/RBC,39129,6.32,16134
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,ROOF,CEMENT/IRON SHEETS,9521,1.54,2755
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,ROOF,GARDER/T.IRON,501475,80.97,218770
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,ROOF,WOOD/BAMBOO,59922,9.68,22608
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,11-50 YEARS,263886,42.61,ROOF,OTHERS,9276,1.5,3619
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,WALL,BAKED BRICKS/BLOCKS/STONES,451557,72.91,4018
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,WALL,UNBAKED BRICKS/MUD,146285,23.62,2279
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,WALL,WOOD/BAMBOO,10793,1.74,188
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,WALL,OTHERS,10688,1.73,139
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,ROOF,RCC/RBC,39129,6.32,279
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,ROOF,CEMENT/IRON SHEETS,9521,1.54,88
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,ROOF,GARDER/T.IRON,501475,80.97,5044
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,ROOF,WOOD/BAMBOO,59922,9.68,1061
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,TOTAL,OVER 50 YEARS,6624,1.07,ROOF,OTHERS,9276,1.5,152
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,WALL,BAKED BRICKS/BLOCKS/STONES,329814,67.25,5501
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,WALL,UNBAKED BRICKS/MUD,141014,28.75,2214
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,WALL,WOOD/BAMBOO,10325,2.11,301
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,WALL,OTHERS,9264,1.89,255
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,ROOF,RCC/RBC,8268,1.69,458
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,ROOF,CEMENT/IRON SHEETS,7103,1.45,367
PUNJAB,066,RAHIM YAR KHAN DISTRICT,RAHIM YAR KHAN DISTRICT,RURAL,UNDER CONSTRUCTION,8271,1.69,ROOF,GARDER/T.IRON,410893,83.78,6307
