province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
PUNJAB,067,DERA GHAZI KHAN DISTRICT,NA,NA,NA,YES,DERA GHAZI KHAN DISTRICT,546221,277754,268423,44,68.59,75.14,61.95,38.64,66831,53911,4,43749,34407,7,18177,16351,3,544893,1328,390252,288484,28954,104604,243128
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,NA,NA,YES,DERA GHAZI KHAN TEHSIL,397362,201554,195775,33,69.33,74.63,63.97,39.39,48375,40031,2,31872,27288,6,13376,12676,3,396191,1171,286920,213558,21091,76618,180035
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,NA,YES,DERA GHAZI KHAN MUNICIPAL CORPORATION,397362,201554,195775,33,69.33,74.63,63.97,39.39,48375,40031,2,31872,27288,6,13376,12676,3,396191,1171,286920,213558,21091,76618,180035
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,YES,CHARGE NO 12,91417,46179,45223,15,74.02,77.48,70.58,20,12396,10435,0,7868,7741,3,2803,3188,0,91331,86,67618,51933,5287,18476,43457
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 01,20479,10229,10248,2,62.83,67.28,58.56,0,2350,2088,0,1221,1233,0,359,407,0,20474,5,14467,10695,1000,3828,8579
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 02,11544,5835,5708,1,73,75.46,70.52,0,1638,1326,0,919,1010,0,263,350,0,11535,9,8595,6653,613,2905,5416
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 03,7075,3484,3585,6,79.24,83.43,75.33,50,921,924,0,711,674,3,298,310,0,7065,10,5293,4102,449,293,3403
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 04,7561,3793,3767,1,86.54,89.66,83.47,0,1201,979,0,800,849,0,320,374,0,7549,12,5756,4486,486,1881,3877
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 05,8161,4054,4107,0,83.05,86.54,79.73,0,1201,1060,0,836,876,0,274,364,0,8153,8,6171,4835,573,1330,4314
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 06,8631,4456,4175,0,83.78,85.73,81.71,0,1345,1082,0,969,949,0,354,434,0,8594,37,6640,5175,524,2525,4330
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 07,9002,4567,4432,3,84.47,87.26,81.73,0,1353,1143,0,1039,1042,0,411,441,0,9002,0,7012,5612,577,1461,4788
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 08,6990,3584,3406,0,89.56,92.03,86.94,0,983,815,0,922,769,0,437,433,0,6986,4,5419,4258,463,1600,3755
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 09,5273,2709,2563,1,42.3,47.59,36.87,0,491,349,0,129,94,0,25,22,0,5272,1,3560,2611,264,1179,2068
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 12,NO,CIRCLE NO 10,6701,3468,3232,1,54.03,58.88,48.75,0,913,669,0,322,245,0,62,53,0,6701,0,4705,3506,338,1474,2927
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,YES,CHARGE NO 13,140673,71014,69645,14,64.62,69.91,59.36,57.14,16499,13320,2,9717,8869,2,3700,3827,2,140493,180,100451,74479,7502,30064,61765
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,NO,CIRCLE NO 01,22463,11371,11091,1,54.33,60.3,48.4,0,2349,1922,0,1026,867,0,302,257,0,22415,48,15572,11304,1115,4853,9049
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,NO,CIRCLE NO 02,3872,1967,1905,0,74.77,80.9,68.54,0,526,400,0,348,300,0,133,138,0,3872,0,2766,2042,217,853,1757
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,NO,CIRCLE NO 03,8183,4110,4072,1,70.72,74.07,67.43,0,1084,907,0,642,658,0,232,266,0,8168,15,6133,4586,513,2176,3895
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,NO,CIRCLE NO 04,9712,4804,4900,8,76.86,79.51,74.29,87.5,1387,1332,2,882,879,1,310,329,2,9706,6,7355,5539,574,2423,4817
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,NO,CIRCLE NO 05,8292,4143,4149,0,84.98,87.03,82.98,0,1120,1013,0,913,962,0,424,422,0,8278,14,6327,5025,585,1586,4581
PUNJAB,067,DERA GHAZI KHAN DISTRICT,DERA GHAZI KHAN TEHSIL,DERA GHAZI KHAN MUNICIPAL CORPORATION,CHARGE NO 13,NO,CIRCLE NO 06,6500,3274,3226,0,84.03,86.55,81.5,0,961,803,0,732,712,0,293,350,0,6493,7,4967,3931,401,1887,3359
