province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
PUNJAB,068,RAJANPUR DISTRICT,RAJANPUR DISTRICT,TOTAL,12318,1996039,1028164,967668,207,106.25,162.04,16.9,7.44,1103618,3.16
PUNJAB,068,RAJANPUR DISTRICT,RAJANPUR DISTRICT,RURAL,NA,1658743,855496,803097,150,106.52,NA,NA,7.51,943463,3.01
PUNJAB,068,RAJANPUR DISTRICT,RAJANPUR DISTRICT,URBAN,NA,337296,172668,164571,57,104.92,NA,NA,7.09,160155,3.99
PUNJAB,068,RAJANPUR DISTRICT,DE-EXCLUDED AREA RAJANPUR,TOTAL,5013,34191,18280,15909,2,114.9,6.82,NA,6.56,14051,4.78
PUNJAB,068,RAJANPUR DISTRICT,DE-EXCLUDED AREA RAJANPUR,RURAL,NA,34191,18280,15909,2,114.9,NA,NA,6.56,14051,4.78
PUNJAB,068,RAJANPUR DISTRICT,DE-EXCLUDED AREA RAJANPUR,URBAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,068,RAJANPUR DISTRICT,JAMPUR TEHSIL,TOTAL,2322,849389,433764,415556,69,104.38,365.8,12.96,7.67,485051,2.99
PUNJAB,068,RAJANPUR DISTRICT,JAMPUR TEHSIL,RURAL,NA,739299,377811,361435,53,104.53,NA,NA,7.8,417338,3.05
PUNJAB,068,RAJANPUR DISTRICT,JAMPUR TEHSIL,URBAN,NA,110090,55953,54121,16,103.39,NA,NA,6.92,67713,2.59
PUNJAB,068,RAJANPUR DISTRICT,RAJANPUR TEHSIL,TOTAL,2078,706770,364183,342489,98,106.33,340.12,30.09,7.48,395953,3.09
PUNJAB,068,RAJANPUR DISTRICT,RAJANPUR TEHSIL,RURAL,NA,494109,254955,239095,59,106.63,NA,NA,7.62,314641,2.4
PUNJAB,068,RAJANPUR DISTRICT,RAJANPUR TEHSIL,URBAN,NA,212661,109228,103394,39,105.64,NA,NA,7.17,81312,5.18
PUNJAB,068,RAJANPUR DISTRICT,ROJHAN TEHSIL,TOTAL,2905,405689,211937,193714,38,109.41,139.65,3.59,7.01,208563,3.56
PUNJAB,068,RAJANPUR DISTRICT,ROJHAN TEHSIL,RURAL,NA,391144,204450,186658,36,109.53,NA,NA,6.99,197433,3.66
PUNJAB,068,RAJANPUR DISTRICT,ROJHAN TEHSIL,URBAN,NA,14545,7487,7056,2,106.11,NA,NA,7.38,11130,1.42
