province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,4328549,115499,673900,1398490,2049402,2073809,789152,1101464,1942889,2224782,1901427,2105783,220960,145210
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,2223085,59338,344416,722857,1069792,1082705,406242,560953,981095,1126988,958281,1062189,111939,75218
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,2105145,56161,329484,675633,979605,991022,382828,540396,961571,1097511,942902,1043304,108969,69956
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,319,0,0,0,5,82,82,115,223,283,244,290,52,36
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,ALL SEXES,3630138,98531,578391,1203213,1753622,1750260,650516,906503,1598561,1828683,1561079,1733309,186049,123320
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,MALE,1864893,50557,295518,622062,916044,915590,335942,462687,806877,925488,785510,873326,94499,64239
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,FEMALE,1765011,47974,282873,581151,837573,834616,314520,443737,791524,902993,775387,859764,91508,59049
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,TRANSGENDER,234,0,0,0,5,54,54,79,160,202,182,219,42,32
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,ALL SEXES,698411,16968,95509,195277,295780,323549,138636,194961,344328,396099,340348,372474,34911,21890
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,MALE,358192,8781,48898,100795,153748,167115,70300,98266,174218,201500,172771,188863,17440,10979
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,FEMALE,340134,8187,46611,94482,142032,156406,68308,96659,170047,194518,167515,183540,17461,10907
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,TRANSGENDER,85,0,0,0,0,28,28,36,63,81,62,71,10,4
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,TOTAL,ALL SEXES,640384,15221,99724,208528,304817,309439,118167,163879,286943,327333,279500,310044,33433,22055
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,TOTAL,MALE,329881,7708,50476,107704,159143,162596,61339,84017,146170,166717,141898,157364,16800,11431
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,TOTAL,FEMALE,310457,7513,49248,100824,145672,146829,56814,79847,140743,160577,137569,152639,16624,10617
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,TOTAL,TRANSGENDER,46,0,0,0,2,14,14,15,30,39,33,41,9,7
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,RURAL,ALL SEXES,595880,14257,94317,197258,287128,288831,108784,150951,263999,300904,257060,285439,31077,20612
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,RURAL,MALE,307377,7212,47720,101902,150066,152119,56654,77683,134706,153466,130670,145071,15653,10726
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,RURAL,FEMALE,288463,7045,46597,95356,137060,136698,52116,73253,129267,147405,126363,140333,15415,9879
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,RURAL,TRANSGENDER,40,0,0,0,2,14,14,15,26,33,27,35,9,7
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,URBAN,ALL SEXES,44504,964,5407,11270,17689,20608,9383,12928,22944,26429,22440,24605,2356,1443
