province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,hadbast_deh_number,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up,area_acre
PUNJAB,070,MUZAFFARGARH DISTRICT,NA,NA,NA,YES,MUZAFFARGARH DISTRICT,NA,3630138,1864893,1765011,234,43.12,54.89,30.78,17.95,367813,199694,21,128612,49393,5,27462,13069,2,3623535,6603,2426925,1733309,186049,704033,1401372,1959289
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,NA,NA,YES,ALIPUR TEHSIL,NA,595880,307377,288463,40,35.68,46.42,24.26,5,48891,23962,0,16989,6085,0,4118,1771,0,595571,309,398622,285439,31077,125175,218216,333909
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,NA,YES,ALI PUR I QH,NA,118583,61418,57163,2,37.84,48.69,26.3,0,10326,5078,0,3390,1281,0,924,435,0,118518,65,79798,57391,6096,24796,45145,34678
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,ALI PUR PC,YES,ALI PUR PC,NA,26995,14106,12888,1,42.82,50.49,34.64,0,2456,1601,0,1006,529,0,324,208,0,26995,0,18435,13372,1357,6538,10940,5978
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,ALI PUR PC,NO,ALI PUR,0000152,7695,4022,3673,0,26.47,33.63,18.59,0,542,245,0,143,48,0,36,18,0,7695,0,5085,3699,406,2097,2999,1947
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,ALI PUR PC,NO,MUTARQA,0000151,19300,10084,9215,1,49.05,57.05,40.62,0,1914,1356,0,863,481,0,288,190,0,19300,0,13350,9673,951,4441,7941,2722
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,ALI PUR PC,NO,RAKH ALI PUR,0000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,ALI WALI PC,YES,ALI WALI PC,NA,21209,10965,10244,0,37.73,50.96,23.58,0,2018,887,0,639,158,0,182,44,0,21208,1,14244,10189,1157,5345,8288,5364
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,ALI WALI PC,NO,ALI WALI,0000141,21209,10965,10244,0,37.73,50.96,23.58,0,2018,887,0,639,158,0,182,44,0,21208,1,14244,10189,1157,5345,8288,5364
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,BAQAR SHAH SHUMALI PC,YES,BAQAR SHAH SHUMALI PC,NA,10537,5382,5155,0,33.41,45.1,21.57,0,773,355,0,218,56,0,40,13,0,10537,0,6864,4875,515,2610,3755,2705
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,BAQAR SHAH SHUMALI PC,NO,BAQAR SHAH SHUMALI,0000150,9275,4717,4558,0,36.91,49.97,23.83,0,761,351,0,211,56,0,38,13,0,9275,0,6121,4312,458,2433,3219,2192
PUNJAB,070,MUZAFFARGARH DISTRICT,ALIPUR TEHSIL,ALI PUR I QH,BAQAR SHAH SHUMALI PC,NO,NAHAL WALA,0000156,1262,665,597,0,4.58,6.92,1.98,0,12,4,0,7,0,0,2,0,0,1262,0,743,563,57,177,536,513
