province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,512,ALL SEXES,2687246
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,512,MALE,1375395
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,512,FEMALE,1311553
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,512,TRANSGENDER,298
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"5,000 AND ABOVE",193,ALL SEXES,2046924
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"5,000 AND ABOVE",193,MALE,1046735
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"5,000 AND ABOVE",193,FEMALE,999956
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"5,000 AND ABOVE",193,TRANSGENDER,233
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"2,000 - 4,999",155,ALL SEXES,486263
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"2,000 - 4,999",155,MALE,249777
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"2,000 - 4,999",155,FEMALE,236429
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"2,000 - 4,999",155,TRANSGENDER,57
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"1,000 - 1,999",71,ALL SEXES,104149
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"1,000 - 1,999",71,MALE,53341
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"1,000 - 1,999",71,FEMALE,50803
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,"1,000 - 1,999",71,TRANSGENDER,5
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,500 - 999,51,ALL SEXES,38836
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,500 - 999,51,MALE,19936
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,500 - 999,51,FEMALE,18897
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,500 - 999,51,TRANSGENDER,3
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,200 - 499,27,ALL SEXES,9680
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,200 - 499,27,MALE,4906
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,200 - 499,27,FEMALE,4774
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,200 - 499,27,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,LESS THAN 200,15,ALL SEXES,1394
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,LESS THAN 200,15,MALE,700
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,LESS THAN 200,15,FEMALE,694
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,LESS THAN 200,15,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,UN-INHABITED,-,ALL SEXES,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,UN-INHABITED,-,MALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,UN-INHABITED,-,FEMALE,0
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,UN-INHABITED,-,TRANSGENDER,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,108,ALL SEXES,487518
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,108,MALE,247132
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,108,FEMALE,240350
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,108,TRANSGENDER,36
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"5,000 AND ABOVE",41,ALL SEXES,367724
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"5,000 AND ABOVE",41,MALE,186078
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"5,000 AND ABOVE",41,FEMALE,181618
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"5,000 AND ABOVE",41,TRANSGENDER,28
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"2,000 - 4,999",23,ALL SEXES,74380
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"2,000 - 4,999",23,MALE,37871
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,"2,000 - 4,999",23,FEMALE,36505
