province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,pop_all,pop_male,pop_fem,pop_trans,lit_all,lit_male,lit_fem,lit_trans,primary_male,primary_fem,primary_trans,matric_male,matric_fem,matric_trans,degree_male,degree_fem,degree_trans,muslim,non_muslim,age_10_up,age_18_up,age_60_up,working_10_up,cnic_18_up
PUNJAB,071,MULTAN DISTRICT,NA,NA,NA,YES,MULTAN DISTRICT,2058920,1059800,998855,265,74.5,77.77,71.03,52.83,270496,236392,57,196894,163817,49,81472,73083,17,2036443,22477,1560361,1204340,111782,510300,1050870
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,NA,NA,YES,JALALPUR PIRWALA TEHSIL,67453,34035,33409,9,60.19,67.3,53.07,33.33,8423,6539,2,4016,3023,1,1427,1342,0,67310,143,48053,35173,3513,11843,31257
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,NA,YES,JALALPUR PIRWALA MC,67453,34035,33409,9,60.19,67.3,53.07,33.33,8423,6539,2,4016,3023,1,1427,1342,0,67310,143,48053,35173,3513,11843,31257
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,CHARGE NO 05,YES,CHARGE NO 05,67453,34035,33409,9,60.19,67.3,53.07,33.33,8423,6539,2,4016,3023,1,1427,1342,0,67310,143,48053,35173,3513,11843,31257
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,CHARGE NO 05,NO,CIRCLE NO 01,15238,7579,7659,0,60.55,68.5,52.91,0,1830,1535,0,927,583,0,409,367,0,15146,92,10712,7709,765,3064,6836
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,CHARGE NO 05,NO,CIRCLE NO 02,19557,9856,9695,6,52.02,57.78,46.31,16.67,2190,1725,1,1037,811,0,306,288,0,19556,1,14032,10248,1126,3760,9125
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,CHARGE NO 05,NO,CIRCLE NO 03,16307,8162,8144,1,76.33,83.19,69.57,100,2637,2088,0,1211,1092,1,442,485,0,16302,5,12090,8990,911,2901,8148
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,CHARGE NO 05,NO,CIRCLE NO 04,13929,7171,6756,2,56.04,64.26,47.26,50,1572,1115,1,812,525,0,261,200,0,13884,45,9672,7123,617,1727,6253
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,JALALPUR PIRWALA MC,CHARGE NO 05,NO,CIRCLE NO 05,2422,1267,1155,0,31.8,43.21,19.04,0,194,76,0,29,12,0,9,2,0,2422,0,1547,1103,94,391,895
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,NA,NA,YES,MULTAN CITY TEHSIL,1827001,937027,889763,211,74.69,77.5,71.74,50.71,241042,212165,47,167918,148646,35,73185,66231,10,1808475,18526,1386889,1071579,100043,450819,932607
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,NA,YES,MULTAN MUNICIPAL CORPORATION,1827001,937027,889763,211,74.69,77.5,71.74,50.71,241042,212165,47,167918,148646,35,73185,66231,10,1808475,18526,1386889,1071579,100043,450819,932607
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,YES,CHARGE NO 04,61315,31151,30154,10,74.97,76.69,73.23,20,8147,7591,1,5840,5843,1,2285,2072,0,60935,380,47372,36922,3755,15844,32898
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,NO,CIRCLE NO 01,10411,5017,5392,2,78,78.51,77.57,50,1386,1331,0,1067,1519,1,427,377,0,10378,33,8238,6612,661,2445,5913
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,NO,CIRCLE NO 02,10602,5349,5248,5,73.2,74.78,71.67,0,1339,1278,0,1047,916,0,336,339,0,10576,26,8179,6438,723,3168,5541
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,NO,CIRCLE NO 03,8537,4398,4139,0,76.12,78.19,73.95,0,1233,1134,0,854,791,0,263,246,0,8411,126,6678,5188,504,1947,4542
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,NO,CIRCLE NO 04,9262,4731,4531,0,84.03,86.17,81.84,0,1466,1309,0,899,944,0,428,388,0,9259,3,7213,5594,570,2123,5110
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,NO,CIRCLE NO 05,12276,6442,5833,1,66.65,68.71,64.36,100,1474,1357,1,958,864,0,384,345,0,12093,183,9393,7127,687,3428,6284
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 04,NO,CIRCLE NO 06,10227,5214,5011,2,74.25,76.83,71.59,0,1249,1182,0,1015,809,0,447,377,0,10218,9,7671,5963,610,2733,5508
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,YES,CHARGE NO 05,157913,80323,77582,8,80.69,83.44,77.87,75,18703,17404,2,17019,15079,4,11357,10090,0,156129,1784,121700,95443,9967,41876,86266
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 01,18573,9445,9128,0,81.23,83.58,78.84,0,2235,2089,0,2162,1884,0,1206,1169,0,18451,122,14244,11188,1117,5480,10173
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 02,35187,18169,17017,1,71.99,74.52,69.33,100,4450,4092,0,3170,2691,1,1480,1268,0,34130,1057,26688,20608,1844,8422,17953
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 03,24545,12316,12227,2,88.79,91,86.57,100,2553,2552,0,3022,2799,2,2555,2299,0,24381,164,19357,15327,1814,6565,14176
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 04,11841,5862,5979,0,85.04,86.86,83.25,0,1339,1311,0,1253,1168,0,988,905,0,11720,121,9245,7263,845,3142,6851
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 05,16155,8214,7941,0,81.83,84.17,79.43,0,2006,1862,0,1694,1601,0,1179,1082,0,16111,44,12421,9875,1046,3511,8943
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 06,12828,6489,6338,1,86.58,89.66,83.46,100,1641,1573,0,1737,1531,1,900,833,0,12649,179,9938,7930,799,3646,7184
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 07,11472,5954,5515,3,66.62,71.24,61.69,33.33,1421,1093,1,855,675,0,309,254,0,11463,9,8585,6495,663,3373,5612
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 08,12052,6165,5886,1,86.32,89.66,82.8,100,1483,1358,1,1433,1209,0,1109,914,0,12039,13,9379,7387,758,3479,6850
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 09,9259,4726,4533,0,77.13,82.34,71.66,0,1023,935,0,986,795,0,814,627,0,9247,12,7041,5505,505,2348,4949
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 05,NO,CIRCLE NO 10,6001,2983,3018,0,90.63,93.96,87.43,0,552,539,0,707,726,0,817,739,0,5938,63,4802,3865,576,1910,3575
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 06,YES,CHARGE NO 06,103572,53444,50112,16,80.83,84.24,77.18,81.25,11277,10538,6,11966,9633,5,9315,7425,1,102015,1557,80664,63578,6449,24187,57011
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,MULTAN MUNICIPAL CORPORATION,CHARGE NO 06,NO,CIRCLE NO 01,12073,6188,5883,2,74.71,77.85,71.42,100,1797,1612,1,999,944,1,460,367,0,12039,34,9346,7258,699,1170,6151
