province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,1,9222,1.43,205201,31.83,2913
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,1,97205,15.08,205201,31.83,30351
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,1,220670,34.23,205201,31.83,72606
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,1,304326,47.2,205201,31.83,95891
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,1,13298,2.06,205201,31.83,3440
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2,9222,1.43,227366,35.27,3396
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,2,97205,15.08,227366,35.27,34882
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,2,220670,34.23,227366,35.27,82302
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,2,304326,47.2,227366,35.27,102551
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,2,13298,2.06,227366,35.27,4235
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,3,9222,1.43,109109,16.92,1528
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,3,97205,15.08,109109,16.92,16743
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,3,220670,34.23,109109,16.92,36015
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,3,304326,47.2,109109,16.92,52515
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,3,13298,2.06,109109,16.92,2308
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,4,9222,1.43,55734,8.64,793
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,4,97205,15.08,55734,8.64,8441
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,4,220670,34.23,55734,8.64,16907
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,4,304326,47.2,55734,8.64,28038
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,4,13298,2.06,55734,8.64,1555
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,5,9222,1.43,21761,3.38,254
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,5,97205,15.08,21761,3.38,3068
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,5,220670,34.23,21761,3.38,6047
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,5,304326,47.2,21761,3.38,11683
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,5,13298,2.06,21761,3.38,709
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,6,9222,1.43,12496,1.94,146
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,6,97205,15.08,12496,1.94,1813
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,6,220670,34.23,12496,1.94,3338
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,6,304326,47.2,12496,1.94,6656
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,6,13298,2.06,12496,1.94,543
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,7,9222,1.43,6029,0.94,91
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,7,97205,15.08,6029,0.94,909
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,7,220670,34.23,6029,0.94,1660
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,7,304326,47.2,6029,0.94,3162
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,7,13298,2.06,6029,0.94,207
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,8,9222,1.43,3258,0.51,48
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,8,97205,15.08,3258,0.51,463
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,8,220670,34.23,3258,0.51,809
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,8,304326,47.2,3258,0.51,1791
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,8,13298,2.06,3258,0.51,147
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,9222,1.43,3767,0.58,53
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,97205,15.08,3767,0.58,535
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,220670,34.23,3767,0.58,986
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,304326,47.2,3767,0.58,2039
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,13298,2.06,3767,0.58,154
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,1,4982,1.28,141807,36.49,1829
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,1,64406,16.57,141807,36.49,22558
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,1,150926,38.84,141807,36.49,55734
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,1,164060,42.22,141807,36.49,60228
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,1,4255,1.09,141807,36.49,1458
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,2,4982,1.28,144318,37.14,1807
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,2,64406,16.57,144318,37.14,23563
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,2,150926,38.84,144318,37.14,57759
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,2,164060,42.22,144318,37.14,59664
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,2,4255,1.09,144318,37.14,1525
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,3,4982,1.28,58007,14.93,751
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,LESS THAN 5 YEARS,3,64406,16.57,58007,14.93,9992
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,5-10 YEARS,3,150926,38.84,58007,14.93,21720
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,11-50 YEARS,3,164060,42.22,58007,14.93,24871
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,OVER 50 YEARS,3,4255,1.09,58007,14.93,673
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,UNDER CONSTRUCTION,4,4982,1.28,25714,6.62,356
