province_name,district_code,district_name,area_name,area_type,information_source,count
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,727531
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,RADIO,27187
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,TV,495485
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,NEWSPAPER,52836
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,MOBILE,28929
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,TOTAL,COMPUTER/INTERNET,716850
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,401590
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,RADIO,10694
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,TV,214064
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,NEWSPAPER,15067
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,MOBILE,4966
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,RURAL,COMPUTER/INTERNET,395510
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,325941
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,RADIO,16493
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,TV,281421
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,NEWSPAPER,37769
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,MOBILE,23963
PUNJAB,071,MULTAN DISTRICT,MULTAN DISTRICT,URBAN,COMPUTER/INTERNET,321340
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,81764
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,RADIO,1760
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,TV,32609
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,NEWSPAPER,3137
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,MOBILE,565
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,TOTAL,COMPUTER/INTERNET,80649
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,70880
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,RADIO,1533
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,TV,24708
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,NEWSPAPER,1469
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,MOBILE,355
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,COMPUTER/INTERNET,69872
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,10884
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,RADIO,227
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TV,7901
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,NEWSPAPER,1668
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MOBILE,210
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,COMPUTER/INTERNET,10777
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,357228
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,RADIO,14745
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TV,302188
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,NEWSPAPER,33493
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MOBILE,23838
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,COMPUTER/INTERNET,351970
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,HOUSEHOLDS WITH ANY SOURCE OF INFORMATION,67717
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,RADIO,2242
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TV,50515
