province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,4349,2920233,1482668,1437272,293,103.16,671.47,20.08,6.22,2068490,1.83
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,RURAL,NA,2333801,1185319,1148276,206,103.23,NA,NA,6.24,1704229,1.67
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,URBAN,NA,586432,297349,288996,87,102.89,NA,NA,6.15,364261,2.53
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,TOTAL,549,343425,172917,170487,21,101.43,625.55,12.71,6.47,249574,1.69
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,RURAL,NA,299779,151053,148708,18,101.58,NA,NA,6.52,224703,1.53
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,URBAN,NA,43646,21864,21779,3,100.39,NA,NA,6.18,24871,3
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,TOTAL,1804,958596,489255,469256,85,104.26,531.37,15.61,6.31,663878,1.95
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,RURAL,NA,809002,413527,395406,69,104.58,NA,NA,6.31,565066,1.9
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,URBAN,NA,149594,75728,73850,16,102.54,NA,NA,6.34,98812,2.2
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,TOTAL,784,856257,436109,420039,109,103.83,1092.16,31.66,6.01,607012,1.82
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,RURAL,NA,585160,297829,287262,69,103.68,NA,NA,6.03,455413,1.33
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,URBAN,NA,271097,138280,132777,40,104.14,NA,NA,5.97,151599,3.1
PUNJAB,072,KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,TOTAL,1212,761955,384387,377490,78,101.83,628.68,16.02,6.24,548026,1.75
PUNJAB,072,KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,RURAL,NA,639860,322910,316900,50,101.9,NA,NA,6.22,459047,1.76
PUNJAB,072,KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,URBAN,NA,122095,61477,60590,28,101.46,NA,NA,6.32,88979,1.68
