province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
PUNJAB,072,KHANEWAL DISTRICT,NA,NA,NA,YES,KHANEWAL DISTRICT,94415,84221,6495,3699,91027,92699,66031,68095,90137,91451,6.15
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,NA,NA,YES,JAHANIAN TEHSIL,7021,6245,555,221,6852,6931,5704,5531,6913,6938,6.18
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,NA,YES,JAHANIAN MC,7021,6245,555,221,6852,6931,5704,5531,6913,6938,6.18
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,YES,CHARGE NO 03,7021,6245,555,221,6852,6931,5704,5531,6913,6938,6.18
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,NO,CIRCLE NO 01,1640,1471,139,30,1555,1604,1313,1403,1584,1577,6.27
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,NO,CIRCLE NO 02,655,633,22,0,647,646,501,476,649,652,6.11
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,NO,CIRCLE NO 03,1225,1185,30,10,1209,1210,752,697,1215,1225,6.17
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,NO,CIRCLE NO 04,660,551,96,13,633,656,621,605,656,659,5.98
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,NO,CIRCLE NO 05,1493,1140,201,152,1466,1471,1408,1176,1467,1487,6.02
PUNJAB,072,KHANEWAL DISTRICT,JAHANIAN TEHSIL,JAHANIAN MC,CHARGE NO 03,NO,CIRCLE NO 06,1348,1265,67,16,1342,1344,1109,1174,1342,1338,6.37
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,NA,NA,YES,KABIRWALA TEHSIL,23273,20082,1709,1482,22676,22758,15606,16052,21469,21949,6.34
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,NA,YES,ABDUL HAKIM MC,9162,7889,585,688,8848,8971,5530,6573,8161,8557,6.08
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,YES,CHARGE NO 11,9162,7889,585,688,8848,8971,5530,6573,8161,8557,6.08
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,NO,CIRCLE NO 01,1612,1295,183,134,1510,1572,717,1223,1514,1565,6.56
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,NO,CIRCLE NO 02,1632,1512,89,31,1587,1612,811,1284,1592,1591,5.91
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,NO,CIRCLE NO 03,1026,969,33,24,1023,1014,900,881,1007,1023,5.28
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,NO,CIRCLE NO 04,1130,987,78,65,1071,1065,753,784,975,904,6.39
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,NO,CIRCLE NO 05,1700,1503,108,89,1686,1670,987,1095,1573,1484,5.72
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,ABDUL HAKIM MC,CHARGE NO 11,NO,CIRCLE NO 06,2062,1623,94,345,1971,2038,1362,1306,1500,1990,6.35
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,NA,YES,KABIRWALA MC,11498,10241,756,501,11253,11266,8546,7748,10896,10925,6.48
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,CHARGE NO 10,YES,CHARGE NO 10,11498,10241,756,501,11253,11266,8546,7748,10896,10925,6.48
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,CHARGE NO 10,NO,CIRCLE NO 01,2257,1909,193,155,2187,2187,1713,1496,2035,2129,6.63
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,CHARGE NO 10,NO,CIRCLE NO 02,2013,1762,205,46,1951,1997,1863,1407,1978,2010,6.15
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,CHARGE NO 10,NO,CIRCLE NO 03,1542,1401,113,28,1522,1531,1418,1198,1519,1529,6.54
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,CHARGE NO 10,NO,CIRCLE NO 04,1798,1525,114,159,1773,1744,856,1110,1561,1410,6.78
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,KABIRWALA MC,CHARGE NO 10,NO,CIRCLE NO 05,3888,3644,131,113,3820,3807,2696,2537,3803,3847,6.41
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,SARAI SIDHU TC,NA,YES,SARAI SIDHU TC,2613,1952,368,293,2575,2521,1530,1731,2412,2467,6.67
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,SARAI SIDHU TC,CHARGE NO 12,YES,CHARGE NO 12,2613,1952,368,293,2575,2521,1530,1731,2412,2467,6.67
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,SARAI SIDHU TC,CHARGE NO 12,NO,CIRCLE NO 01,1123,737,212,174,1105,1070,634,609,997,1026,7
PUNJAB,072,KHANEWAL DISTRICT,KABIRWALA TEHSIL,SARAI SIDHU TC,CHARGE NO 12,NO,CIRCLE NO 02,1490,1215,156,119,1470,1451,896,1122,1415,1441,6.43
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,NA,NA,YES,KHANEWAL TEHSIL,45034,40709,2952,1373,42954,44231,30268,32253,43514,43736,5.97
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,KHANEWAL MC,NA,YES,KHANEWAL MC,41711,38133,2412,1166,39685,40992,27903,30029,40334,40536,5.94
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,KHANEWAL MC,CHARGE NO 07,YES,CHARGE NO 07,8325,7410,507,408,8038,8113,2935,4066,7747,7770,6.14
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,KHANEWAL MC,CHARGE NO 07,NO,CIRCLE NO 01,1145,972,138,35,1036,1100,3,281,1063,1086,6.43
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL TEHSIL,KHANEWAL MC,CHARGE NO 07,NO,CIRCLE NO 02,1175,1044,48,83,1119,1155,303,936,1129,1153,6.64
