province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,INSIDE WATER,TOTAL INSIDE,453637,97.34,407266
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,INSIDE WATER,TAP,72735,15.61,61024
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,INSIDE WATER,ELECTRIC/HAND PUMP,372708,79.97,340168
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,INSIDE WATER,PROTECTED WELL,454,0.1,387
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,INSIDE WATER,UN-PROTECTED WELL,298,0.06,257
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,INSIDE WATER,OTHERS,7442,1.6,5430
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,OUTSIDE WATER,TOTAL OUTSIDE,12400,2.66,9071
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,OUTSIDE WATER,TAP,2755,0.59,1879
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,OUTSIDE WATER,ELECTRIC/HAND PUMP,4770,1.02,3372
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,OUTSIDE WATER,PROTECTED WELL,33,0.01,18
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,OUTSIDE WATER,UN-PROTECTED WELL,12,NA,12
PUNJAB,072,KHANEWAL DISTRICT,KHANEWAL DISTRICT,TOTAL,OWNED,416337,89.34,OUTSIDE WATER,SPRING,19,NA,14
