province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,1699693,41124,239525,502932,749210,784724,311260,436694,794937,922968,789303,880259,97561,63736
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,861394,21146,123503,260972,390301,404181,156247,216041,392192,457783,389577,434954,48525,32174
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,FEMALE,838156,19978,116022,241960,358908,380507,154977,220595,402638,465056,399612,445171,49013,31548
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TRANSGENDER,143,0,0,0,1,36,36,58,107,129,114,134,23,14
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,ALL SEXES,1434092,35019,205042,430608,638104,661997,259302,363545,663444,771369,659524,737607,83695,54986
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,MALE,726987,17986,105942,223695,332678,341300,130396,180065,327007,382245,325119,364248,41796,27896
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,FEMALE,707003,17033,99100,206913,305425,320675,128884,183445,336365,389036,334326,373261,41877,27076
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,TRANSGENDER,102,0,0,0,1,22,22,35,72,88,79,98,22,14
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,ALL SEXES,265601,6105,34483,72324,111106,122727,51958,73149,131493,151599,129779,142652,13866,8750
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,MALE,134407,3160,17561,37277,57623,62881,25851,35976,65185,75538,64458,70706,6729,4278
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,FEMALE,131153,2945,16922,35047,53483,59832,26093,37150,66273,76020,65286,71910,7136,4472
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,TRANSGENDER,41,0,0,0,0,14,14,23,35,41,35,36,1,0
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,TOTAL,ALL SEXES,495217,12055,67413,139482,209636,223773,92404,129602,236414,276552,235518,264080,30476,19883
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,TOTAL,MALE,249231,6206,34769,72121,108723,114268,45894,63304,115254,135944,115142,129609,15415,10144
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,TOTAL,FEMALE,245944,5849,32644,67361,100913,109498,46503,66285,121128,140568,120339,134431,15058,9737
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,TOTAL,TRANSGENDER,42,0,0,0,0,7,7,13,32,40,37,40,3,2
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,ALL SEXES,453663,11045,62029,128413,192585,204850,84231,117975,215620,252538,214978,241469,28228,18477
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,MALE,228308,5685,31971,66437,99875,104690,41889,57673,105016,124080,104995,118481,14342,9456
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,FEMALE,225323,5360,30058,61976,92710,100154,42336,60293,110578,128428,109955,122958,13884,9019
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,TRANSGENDER,32,0,0,0,0,6,6,9,26,30,28,30,2,2
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,ALL SEXES,41554,1010,5384,11069,17051,18923,8173,11627,20794,24014,20540,22611,2248,1406
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,MALE,20923,521,2798,5684,8848,9578,4005,5631,10238,11864,10147,11128,1073,688
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,FEMALE,20621,489,2586,5385,8203,9344,4167,5992,10550,12140,10384,11473,1174,718
PUNJAB,073,LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,TRANSGENDER,10,0,0,0,0,1,1,4,6,10,9,10,1,0
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,TOTAL,ALL SEXES,500963,11770,69063,146266,218357,229929,90973,127689,234588,272840,235057,263189,30282,20104
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,TOTAL,MALE,255569,5997,35665,76394,114104,118793,45716,63469,117068,136665,117435,131487,15034,10162
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,TOTAL,FEMALE,245353,5773,33398,69872,104253,111119,45240,64200,117491,136141,117591,131664,15238,9935
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,TOTAL,TRANSGENDER,41,0,0,0,0,17,17,20,29,34,31,38,10,7
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,ALL SEXES,394678,9399,55654,117934,174495,181158,70360,98766,181977,211914,182630,205233,24372,16312
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,MALE,201333,4763,28892,61731,91298,93586,35357,49047,90544,105881,91004,102386,12195,8331
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,FEMALE,193317,4636,26762,56203,83197,87562,34993,49707,91416,106012,91606,102820,12167,7974
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,TRANSGENDER,28,0,0,0,0,10,10,12,17,21,20,27,10,7
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,URBAN,ALL SEXES,106285,2371,13409,28332,43862,48771,20613,28923,52611,60926,52427,57956,5910,3792
PUNJAB,073,LODHRAN DISTRICT,KAHROR PACCA TEHSIL,URBAN,MALE,54236,1234,6773,14663,22806,25207,10359,14422,26524,30784,26431,29101,2839,1831
