province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1196761,49.88,ILLITERATE,599760
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,10 - 14,210057,74.58,ILLITERATE,53402
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,15 - 19,169540,66.25,ILLITERATE,57220
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,20 - 24,141720,57.49,ILLITERATE,60252
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,25 - 29,125434,49.83,ILLITERATE,62930
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,30 - 34,108539,44.67,ILLITERATE,60051
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,35 - 39,104469,41.55,ILLITERATE,61067
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,40 - 44,78356,36.67,ILLITERATE,49625
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,45 - 49,66879,30.79,ILLITERATE,46287
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,50 - 54,56486,28.77,ILLITERATE,40233
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,55 - 59,37720,24.58,ILLITERATE,28447
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,60 - 64,33825,21.28,ILLITERATE,26628
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,65 - 69,25119,17.48,ILLITERATE,20728
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,70 - 74,17383,16.17,ILLITERATE,14572
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,21234,13.73,ILLITERATE,18318
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1196761,49.88,TOTAL LITERATE,597001
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,10 - 14,210057,74.58,TOTAL LITERATE,156655
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,15 - 19,169540,66.25,TOTAL LITERATE,112320
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,20 - 24,141720,57.49,TOTAL LITERATE,81468
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,25 - 29,125434,49.83,TOTAL LITERATE,62504
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,30 - 34,108539,44.67,TOTAL LITERATE,48488
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,35 - 39,104469,41.55,TOTAL LITERATE,43402
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,40 - 44,78356,36.67,TOTAL LITERATE,28731
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,45 - 49,66879,30.79,TOTAL LITERATE,20592
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,50 - 54,56486,28.77,TOTAL LITERATE,16253
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,55 - 59,37720,24.58,TOTAL LITERATE,9273
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,60 - 64,33825,21.28,TOTAL LITERATE,7197
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,65 - 69,25119,17.48,TOTAL LITERATE,4391
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,70 - 74,17383,16.17,TOTAL LITERATE,2811
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,21234,13.73,TOTAL LITERATE,2916
