province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,WALL,BAKED BRICKS/BLOCKS/STONES,210585,80.18,197470
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,WALL,UNBAKED BRICKS/MUD,47030,17.91,41736
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,WALL,WOOD/BAMBOO,1878,0.72,1501
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,WALL,OTHERS,3136,1.19,2558
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,ROOF,RCC/RBC,13291,5.06,11644
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,ROOF,CEMENT/IRON SHEETS,2535,0.97,2290
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,ROOF,GARDER/T.IRON,212895,81.06,200856
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,ROOF,WOOD/BAMBOO,30850,11.75,26014
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,OWNED,243265,92.63,ROOF,OTHERS,3058,1.16,2461
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,RENTED,6526,2.48,WALL,BAKED BRICKS/BLOCKS/STONES,210585,80.18,5910
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,RENTED,6526,2.48,WALL,UNBAKED BRICKS/MUD,47030,17.91,509
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,RENTED,6526,2.48,WALL,WOOD/BAMBOO,1878,0.72,42
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,RENTED,6526,2.48,WALL,OTHERS,3136,1.19,65
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,RENTED,6526,2.48,ROOF,RCC/RBC,13291,5.06,1263
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,RENTED,6526,2.48,ROOF,CEMENT/IRON SHEETS,2535,0.97,114
