province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,INSIDE WATER,TAP,34707,14.27,535
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,INSIDE WATER,ELECTRIC/HAND PUMP,169910,69.85,1561
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,INSIDE WATER,PROTECTED WELL,364,0.15,2
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,INSIDE WATER,UN-PROTECTED WELL,208,0.09,4
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,INSIDE WATER,OTHERS,10965,4.51,140
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,TAP,9000,3.7,115
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,ELECTRIC/HAND PUMP,9359,3.85,65
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,PROTECTED WELL,263,0.11,2
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,UN-PROTECTED WELL,159,0.07,2
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,SPRING,27,0.01,1
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,CANAL/RIVER/POND,269,0.11,0
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,OUTSIDE WATER,OTHERS,8034,3.3,127
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,COOKING FUEL,WOOD,218049,89.63,2321
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,COOKING FUEL,GAS,22385,9.2,208
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,COOKING FUEL,KEROSENE OIL,160,0.07,1
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,COOKING FUEL,OTHERS,2671,1.1,24
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,LIGHTING SOURCE,ELECTRICITY,226425,93.08,2371
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,LIGHTING SOURCE,KEROSENE OIL,6465,2.66,60
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,LIGHTING SOURCE,GAS LAMP,124,0.05,1
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,UNDER CONSTRUCTION,2554,1.05,LIGHTING SOURCE,OTHERS,10251,4.21,122
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,LESS THAN 5 YEARS,36686,15.08,INSIDE WATER,TAP,34707,14.27,5362
