province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,2099200,55.36,ILLITERATE,937032
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,2099200,55.36,TOTAL LITERATE,1162168
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,2099200,55.36,FORMAL LITERATE,1151239
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,2099200,55.36,INFORMAL LITERATE,10929
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,1051019,65.17,ILLITERATE,366119
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,1051019,65.17,TOTAL LITERATE,684900
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,1051019,65.17,FORMAL LITERATE,679969
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,1051019,65.17,INFORMAL LITERATE,4931
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,1047885,45.54,ILLITERATE,570714
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,1047885,45.54,TOTAL LITERATE,477171
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,1047885,45.54,FORMAL LITERATE,471181
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,1047885,45.54,INFORMAL LITERATE,5990
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,296,32.77,ILLITERATE,199
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,296,32.77,TOTAL LITERATE,97
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,296,32.77,FORMAL LITERATE,89
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,296,32.77,INFORMAL LITERATE,8
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,1720701,51.27,ILLITERATE,838444
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,1720701,51.27,TOTAL LITERATE,882257
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,1720701,51.27,FORMAL LITERATE,873968
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,1720701,51.27,INFORMAL LITERATE,8289
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,861623,62.07,ILLITERATE,326845
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,861623,62.07,TOTAL LITERATE,534778
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,861623,62.07,FORMAL LITERATE,530940
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,861623,62.07,INFORMAL LITERATE,3838
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,858872,40.45,ILLITERATE,511453
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,858872,40.45,TOTAL LITERATE,347419
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,858872,40.45,FORMAL LITERATE,342973
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,858872,40.45,INFORMAL LITERATE,4446
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,206,29.13,ILLITERATE,146
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,206,29.13,TOTAL LITERATE,60
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,206,29.13,FORMAL LITERATE,55
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,206,29.13,INFORMAL LITERATE,5
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,378499,73.95,ILLITERATE,98588
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,378499,73.95,TOTAL LITERATE,279911
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,378499,73.95,FORMAL LITERATE,277271
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,378499,73.95,INFORMAL LITERATE,2640
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,MALE,189396,79.26,ILLITERATE,39274
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,MALE,189396,79.26,TOTAL LITERATE,150122
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,MALE,189396,79.26,FORMAL LITERATE,149029
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,MALE,189396,79.26,INFORMAL LITERATE,1093
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,FEMALE,189013,68.65,ILLITERATE,59261
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,FEMALE,189013,68.65,TOTAL LITERATE,129752
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,FEMALE,189013,68.65,FORMAL LITERATE,128208
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,FEMALE,189013,68.65,INFORMAL LITERATE,1544
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,TRANSGENDER,90,41.11,ILLITERATE,53
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,TRANSGENDER,90,41.11,TOTAL LITERATE,37
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,TRANSGENDER,90,41.11,FORMAL LITERATE,34
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,TRANSGENDER,90,41.11,INFORMAL LITERATE,3
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,ALL SEXES,746621,59.37,ILLITERATE,303381
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,ALL SEXES,746621,59.37,TOTAL LITERATE,443240
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,ALL SEXES,746621,59.37,FORMAL LITERATE,439582
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,ALL SEXES,746621,59.37,INFORMAL LITERATE,3658
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,MALE,373615,67.02,ILLITERATE,123216
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,MALE,373615,67.02,TOTAL LITERATE,250399
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,MALE,373615,67.02,FORMAL LITERATE,248713
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,MALE,373615,67.02,INFORMAL LITERATE,1686
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,FEMALE,372894,51.71,ILLITERATE,180086
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,FEMALE,372894,51.71,TOTAL LITERATE,192808
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,FEMALE,372894,51.71,FORMAL LITERATE,190838
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,FEMALE,372894,51.71,INFORMAL LITERATE,1970
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,TRANSGENDER,112,29.46,ILLITERATE,79
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,TRANSGENDER,112,29.46,TOTAL LITERATE,33
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,TRANSGENDER,112,29.46,FORMAL LITERATE,31
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,TOTAL,TRANSGENDER,112,29.46,INFORMAL LITERATE,2
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,ALL SEXES,571927,54.73,ILLITERATE,258938
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,ALL SEXES,571927,54.73,TOTAL LITERATE,312989
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,ALL SEXES,571927,54.73,FORMAL LITERATE,310482
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,ALL SEXES,571927,54.73,INFORMAL LITERATE,2507
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,MALE,286468,63.55,ILLITERATE,104408
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,MALE,286468,63.55,TOTAL LITERATE,182060
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,MALE,286468,63.55,FORMAL LITERATE,180910
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,MALE,286468,63.55,INFORMAL LITERATE,1150
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,FEMALE,285385,45.87,ILLITERATE,154477
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,FEMALE,285385,45.87,TOTAL LITERATE,130908
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,FEMALE,285385,45.87,FORMAL LITERATE,129552
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,FEMALE,285385,45.87,INFORMAL LITERATE,1356
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,TRANSGENDER,74,28.38,ILLITERATE,53
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,TRANSGENDER,74,28.38,TOTAL LITERATE,21
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,TRANSGENDER,74,28.38,FORMAL LITERATE,20
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,RURAL,TRANSGENDER,74,28.38,INFORMAL LITERATE,1
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,ALL SEXES,174694,74.56,ILLITERATE,44443
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,ALL SEXES,174694,74.56,TOTAL LITERATE,130251
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,ALL SEXES,174694,74.56,FORMAL LITERATE,129100
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,ALL SEXES,174694,74.56,INFORMAL LITERATE,1151
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,MALE,87147,78.42,ILLITERATE,18808
PUNJAB,074,VEHARI DISTRICT,BUREWALA TEHSIL,URBAN,MALE,87147,78.42,TOTAL LITERATE,68339
