province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 AND ABOVE,1596510
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 AND ABOVE,1259283
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 AND ABOVE,337227
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 AND ABOVE,790044
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 AND ABOVE,696572
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 AND ABOVE,93472
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 AND ABOVE,806184
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 AND ABOVE,562531
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 AND ABOVE,243653
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,18 AND ABOVE,282
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,18 AND ABOVE,180
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,18 AND ABOVE,102
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,18 - 19,111348
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,18 - 19,38566
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,18 - 19,72782
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,18 - 19,56081
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,18 - 19,25547
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,18 - 19,30534
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,18 - 19,55258
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,18 - 19,13016
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,18 - 19,42242
