province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,KITCHEN,SEPARATE,155775,38.11,1499
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,KITCHEN,SHARED,44641,10.92,593
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,KITCHEN,NONE,208366,50.97,1836
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,BATH,SEPARATE,250094,61.18,2284
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,BATH,SHARED,94873,23.21,947
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,BATH,NONE,63815,15.61,697
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,LATRINE,SEWER,91180,22.31,1069
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,LATRINE,SEPTIC TANK,64216,15.71,510
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,LATRINE,OPEN DRAIN,106396,26.03,1007
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,LATRINE,PIT WITH SLAB,76673,18.76,680
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,LATRINE,OTHER,5799,1.42,72
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,UNDER CONSTRUCTION,3928,0.96,LATRINE,NONE,64518,15.78,590
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,KITCHEN,SEPARATE,155775,38.11,24296
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,KITCHEN,SHARED,44641,10.92,7039
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,KITCHEN,NONE,208366,50.97,38149
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,BATH,SEPARATE,250094,61.18,41236
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,BATH,SHARED,94873,23.21,15223
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,BATH,NONE,63815,15.61,13025
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,LATRINE,SEWER,91180,22.31,13786
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,LATRINE,SEPTIC TANK,64216,15.71,10884
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,LATRINE,OPEN DRAIN,106396,26.03,17916
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,LATRINE,PIT WITH SLAB,76673,18.76,12920
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,LATRINE,OTHER,5799,1.42,1016
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,LESS THAN 5 YEARS,69484,17,LATRINE,NONE,64518,15.78,12962
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,5-10 YEARS,131820,32.25,KITCHEN,SEPARATE,155775,38.11,49303
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,5-10 YEARS,131820,32.25,KITCHEN,SHARED,44641,10.92,15046
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,5-10 YEARS,131820,32.25,KITCHEN,NONE,208366,50.97,67471
