province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,TOTAL,ALL SEXES,1007009,173404,26262,30103,37078,39420,40541,186894,38263,37681,37740,41338,31872,128343,35335,23619,27421,20452,21516,97797,20313,20184,18307,21820,17173,68356,17788,13732,13331,11940,11565,69599,14205,12168,14530,13309,15387,62631,13172,13643,12780,12173,10863,58082,10931,11032,14379,10351,11389,38927,8532,8416,8489,6966,6524,34378,6438,6361,8323,6372,6884,25226,5489,5780,5654,4480,3823,19580,3878,3727,5278,3114,3583,15590,3229,3218,3668,2877,2598,12082,2410,2577,3203,1899,1993,6951,1454,1695,1641,1198,963,9169
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,TOTAL,MALE,514786,87203,13400,15009,18516,19840,20438,97997,19586,19711,19932,21802,16966,69637,19066,12789,14973,11159,11650,52350,11427,11114,10114,10930,8765,34067,8788,6791,6828,5955,5705,33575,6929,5906,7017,6172,7551,30690,6428,6718,6222,5940,5382,29879,5548,5735,7562,5148,5886,19180,4255,4221,4229,3333,3142,17057,3139,3232,3986,3162,3538,13049,2707,2942,2957,2372,2071,9737,1875,1947,2591,1600,1724,7276,1541,1465,1592,1369,1309,5882,1159,1289,1457,949,1028,3349,694,847,737,595,476,3858
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,TOTAL,FEMALE,492061,86201,12862,15094,18562,19580,20103,88897,18677,17970,17808,19536,14906,58706,16269,10830,12448,9293,9866,45425,8885,9063,8188,10884,8405,34263,8990,6939,6496,5983,5855,36003,7271,6258,7507,7133,7834,31923,6737,6923,6553,6231,5479,28180,5374,5293,6813,5200,5500,19735,4269,4194,4259,3631,3382,17312,3297,3128,4334,3208,3345,12169,2777,2836,2697,2107,1752,9837,2001,1779,2686,1513,1858,8311,1686,1753,2076,1508,1288,6197,1250,1287,1746,949,965,3600,759,847,904,603,487,5302
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,TOTAL,TRANSGENDER,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,7,5,6,3,26,10,2,7,2,5,21,5,4,6,4,2,18,7,2,5,2,2,23,9,4,4,3,3,12,8,1,1,2,0,9,2,1,3,2,1,8,5,2,0,1,0,6,2,1,1,1,1,3,2,0,0,0,1,3,1,1,0,1,0,2,1,1,0,0,0,9
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,RURAL,ALL SEXES,709791,128485,19169,22085,27765,29161,30305,138253,28258,28592,27274,31398,22731,91224,26635,16376,19681,13707,14825,64726,13470,13578,11431,15034,11213,44458,12110,8831,8610,7470,7437,47086,9730,8142,9687,8884,10643,42536,8906,9279,8753,8225,7373,40926,7467,7964,10436,7138,7921,26553,5741,5868,5965,4617,4362,23605,4247,4485,5902,4275,4696,17024,3652,3950,3946,2939,2537,13706,2633,2672,3832,2101,2468,10715,2230,2215,2565,1913,1792,8679,1655,1905,2353,1307,1459,5032,1044,1236,1215,832,705,6783
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,RURAL,MALE,363021,64150,9702,10857,13727,14605,15259,72776,14432,15039,14443,16691,12171,50218,14531,8929,10916,7671,8171,35252,7794,7662,6444,7589,5763,21987,5952,4316,4385,3666,3668,22611,4714,3945,4657,4061,5234,20447,4285,4486,4170,3900,3606,21106,3765,4104,5557,3575,4105,12924,2820,2908,2997,2138,2061,11486,2021,2212,2805,2065,2383,8714,1777,2008,2046,1541,1342,6753,1256,1363,1852,1086,1196,5027,1050,1008,1126,926,917,4257,783,948,1092,653,781,2453,502,614,555,425,357,2860
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,RURAL,FEMALE,346692,64335,9467,11228,14038,14556,15046,65477,13826,13553,12831,14707,10560,41006,12104,7447,8765,6036,6654,29462,5676,5910,4985,7443,5448,22454,6152,4514,4221,3802,3765,24468,5016,4195,5028,4821,5408,22084,4619,4793,4583,4324,3765,19807,3698,3857,4876,3562,3814,13624,2917,2959,2968,2479,2301,12115,2226,2272,3095,2209,2313,8306,1873,1940,1900,1398,1195,6949,1375,1309,1980,1014,1271,5686,1178,1207,1439,987,875,4421,872,957,1261,653,678,2578,541,622,660,407,348,3920
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,RURAL,TRANSGENDER,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,2,2,2,17,6,1,4,2,4,7,0,2,2,2,1,5,2,0,0,1,2,13,4,3,3,1,2,5,4,1,0,0,0,4,0,1,2,1,0,4,2,2,0,0,0,4,2,0,0,1,1,2,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,3
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,URBAN,ALL SEXES,297218,44919,7093,8018,9313,10259,10236,48641,10005,9089,10466,9940,9141,37119,8700,7243,7740,6745,6691,33071,6843,6606,6876,6786,5960,23898,5678,4901,4721,4470,4128,22513,4475,4026,4843,4425,4744,20095,4266,4364,4027,3948,3490,17156,3464,3068,3943,3213,3468,12374,2791,2548,2524,2349,2162,10773,2191,1876,2421,2097,2188,8202,1837,1830,1708,1541,1286,5874,1245,1055,1446,1013,1115,4875,999,1003,1103,964,806,3403,755,672,850,592,534,1919,410,459,426,366,258,2386
SINDH,075,JACOBABAD DISTRICT,JACOBABAD DISTRICT,URBAN,MALE,151765,23053,3698,4152,4789,5235,5179,25221,5154,4672,5489,5111,4795,19419,4535,3860,4057,3488,3479,17098,3633,3452,3670,3341,3002,12080,2836,2475,2443,2289,2037,10964,2215,1961,2360,2111,2317,10243,2143,2232,2052,2040,1776,8773,1783,1631,2005,1573,1781,6256,1435,1313,1232,1195,1081,5571,1118,1020,1181,1097,1155,4335,930,934,911,831,729,2984,619,584,739,514,528,2249,491,457,466,443,392,1625,376,341,365,296,247,896,192,233,182,170,119,998
