province_name,district_code,district_name,area_name,area_type,gender,group_all_ages,group_00_04,age_below_1,age_01,age_02,age_03,age_04,group_05_09,age_05,age_06,age_07,age_08,age_09,group_10_14,age_10,age_11,age_12,age_13,age_14,group_15_19,age_15,age_16,age_17,age_18,age_19,group_20_24,age_20,age_21,age_22,age_23,age_24,group_25_29,age_25,age_26,age_27,age_28,age_29,group_30_34,age_30,age_31,age_32,age_33,age_34,group_35_39,age_35,age_36,age_37,age_38,age_39,group_40_44,age_40,age_41,age_42,age_43,age_44,group_45_49,age_45,age_46,age_47,age_48,age_49,group_50_54,age_50,age_51,age_52,age_53,age_54,group_55_59,age_55,age_56,age_57,age_58,age_59,group_60_64,age_60,age_61,age_62,age_63,age_64,group_65_69,age_65,age_66,age_67,age_68,age_69,group_70_74,age_70,age_71,age_72,age_73,age_74,group_75_and_up
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,ALL SEXES,1090336,200662,28009,36768,44017,45572,46296,211369,43491,44186,41825,45460,36407,135526,38427,26130,28154,21315,21500,98925,19642,20050,19787,21560,17886,76002,19786,15282,14688,13456,12790,73795,15673,12938,14851,14607,15726,63970,15010,13554,12660,12487,10259,59223,11765,11713,13572,10720,11453,40557,10268,8481,8467,6809,6532,36278,6978,7105,9025,6378,6792,26242,6371,5746,5731,4291,4103,21248,4450,4388,5783,3104,3523,16406,3774,3312,3908,2768,2644,12426,2637,2627,3361,1851,1950,7410,1819,1735,1684,1164,1008,10297
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,MALE,564663,100277,14335,18198,21553,22816,23375,113337,22384,23391,22714,25057,19791,76937,21397,14613,16053,12245,12629,53864,11791,11485,10409,10893,9286,38074,9781,7564,7596,6760,6373,35654,7700,6369,7345,6692,7548,30694,7116,6550,6058,6028,4942,30258,5854,5906,7216,5330,5952,19905,5017,4271,4218,3247,3152,17761,3380,3340,4364,3076,3601,13707,3182,3022,3064,2241,2198,10839,2301,2254,2822,1613,1849,8329,1828,1660,1954,1456,1431,6396,1339,1411,1658,971,1017,3805,951,912,797,595,550,4826
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,FEMALE,525558,100385,13674,18570,22464,22756,22921,98032,21107,20795,19111,20403,16616,58589,17030,11517,12101,9070,8871,45044,7848,8565,9374,10663,8594,37913,10000,7715,7091,6693,6414,38122,7966,6567,7500,7911,8178,33265,7890,7004,6598,6457,5316,28948,5905,5803,6355,5386,5499,20647,5248,4209,4249,3561,3380,18509,3594,3765,4658,3301,3191,12528,3186,2724,2666,2048,1904,10407,2148,2134,2960,1491,1674,8074,1946,1652,1953,1310,1213,6024,1294,1215,1702,880,933,3601,864,823,887,569,458,5470
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,TRANSGENDER,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,4,4,6,15,5,3,1,3,3,19,7,2,6,4,0,11,4,0,4,2,1,17,6,4,1,4,2,5,3,1,0,1,0,8,4,0,3,1,0,7,3,0,1,2,1,2,1,0,1,0,0,3,0,0,1,2,0,6,4,1,1,0,0,4,4,0,0,0,0,1
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,ALL SEXES,836677,79042,21594,29419,35162,35738,36957,90123,34642,35516,32826,36238,28638,59947,30685,20044,21807,15717,16111,71981,14262,14801,14118,16029,12771,55765,15042,11070,10696,9733,9224,55039,11943,9364,10986,10850,11896,48117,11506,10293,9407,9351,7560,45362,9067,9032,10374,8165,8724,30699,8043,6500,6403,5007,4746,27113,5232,5488,6814,4604,4975,19441,4881,4249,4225,3107,2979,16005,3412,3346,4444,2182,2621,12396,2913,2501,2990,2025,1967,9686,2030,2074,2660,1409,1513,5749,1418,1364,1289,891,787,8230
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,MALE,433432,79828,10987,14458,17171,17833,18593,77737,17761,18814,17864,20002,15682,44417,17135,11393,12533,9212,9674,39604,8810,8599,7415,8134,6646,27853,7435,5450,5566,4831,4571,26409,5861,4633,5423,4884,5608,22781,5422,4876,4455,4460,3568,23124,4482,4542,5560,3996,4544,14890,3876,3228,3235,2288,2263,13186,2526,2542,3316,2182,2620,10035,2430,2212,2246,1583,1564,8135,1766,1701,2162,1142,1364,6329,1410,1261,1502,1077,1079,5019,1036,1131,1322,739,791,3014,764,728,624,458,440,3941
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,FEMALE,403169,0,10607,14961,17991,17905,18364,0,16881,16702,14962,16236,12956,0,13550,8651,9274,6505,6437,32362,5450,6202,6700,7891,6119,27898,7602,5617,5130,4899,4650,28621,6080,4730,5560,5963,6288,25330,6082,5417,4950,4890,3991,22228,4582,4487,4813,4166,4180,15805,4165,3271,3168,2718,2483,13923,2705,2946,3496,2421,2355,9403,2449,2037,1979,1523,1415,7868,1645,1645,2281,1040,1257,6065,1503,1240,1487,947,888,4662,990,942,1338,670,722,2734,653,636,665,433,347,4288
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,TRANSGENDER,76,41792,0,0,0,0,0,43509,0,0,0,0,0,31162,0,0,0,0,0,15,2,0,3,4,6,14,5,3,0,3,3,9,2,1,3,3,0,6,2,0,2,1,1,10,3,3,1,3,0,4,2,1,0,1,0,4,1,0,2,1,0,3,2,0,0,1,0,2,1,0,1,0,0,2,0,0,1,1,0,5,4,1,0,0,0,1,1,0,0,0,0,1
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,ALL SEXES,253659,21235,6415,7349,8855,9834,9339,23214,8849,8670,8999,9222,7769,16990,7742,6086,6347,5598,5389,26944,5380,5249,5669,5531,5115,20237,4744,4212,3992,3723,3566,18756,3730,3574,3865,3757,3830,15853,3504,3261,3253,3136,2699,13861,2698,2681,3198,2555,2729,9858,2225,1981,2064,1802,1786,9165,1746,1617,2211,1774,1817,6801,1490,1497,1506,1184,1124,5243,1038,1042,1339,922,902,4010,861,811,918,743,677,2740,607,553,701,442,437,1661,401,371,395,273,221,2067
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,MALE,131231,20557,3348,3740,4382,4983,4782,20295,4623,4577,4850,5055,4109,14172,4262,3220,3520,3033,2955,14260,2981,2886,2994,2759,2640,10221,2346,2114,2030,1929,1802,9245,1839,1736,1922,1808,1940,7913,1694,1674,1603,1568,1374,7134,1372,1364,1656,1334,1408,5015,1141,1043,983,959,889,4575,854,798,1048,894,981,3672,752,810,818,658,634,2704,535,553,660,471,485,2000,418,399,452,379,352,1377,303,280,336,232,226,791,187,184,173,137,110,885
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,FEMALE,122389,0,3067,3609,4473,4851,4557,0,4226,4093,4149,4167,3660,0,3480,2866,2827,2565,2434,12682,2398,2363,2674,2772,2475,10015,2398,2098,1961,1794,1764,9501,1886,1837,1940,1948,1890,7935,1808,1587,1648,1567,1325,6720,1323,1316,1542,1220,1319,4842,1083,938,1081,843,897,4586,889,819,1162,880,836,3125,737,687,687,525,489,2539,503,489,679,451,417,2009,443,412,466,363,325,1362,304,273,364,210,211,867,211,187,222,136,111,1182
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,TRANSGENDER,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,10,5,1,3,1,0,5,2,0,2,1,0,7,3,1,0,1,2,1,1,0,0,0,0,4,3,0,1,0,0,4,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,3,3,0,0,0,0,0
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,ALL SEXES,366111,67587,9910,11697,15048,15391,15541,69283,14470,14563,13628,14784,11838,45260,12727,8635,9396,7245,7257,33064,6690,6584,6277,7314,6199,26914,6637,5414,5169,4895,4799,25998,5402,4704,5304,5133,5455,21738,5220,4537,4322,4278,3381,19795,3944,3875,4632,3634,3710,13816,3502,2756,2888,2448,2222,12182,2307,2282,3116,2188,2289,8581,2013,1882,1919,1381,1386,6938,1410,1415,1897,1057,1159,5568,1228,1117,1346,978,899,3901,819,813,1086,591,592,2376,573,545,550,368,340,3110
