province_name,district_code,district_name,sublvl_01,sublvl_02,sublvl_03,summary_row,area_name,total_housing,pacca_housing,semi_pacca_housing,kacha_housing,potable_water,electricity,gas,kitchen,bath_room,latrine,avg_hh_size
SINDH,076,KASHMOR DISTRICT,NA,NA,NA,YES,KASHMOR DISTRICT,43714,31090,4193,8431,42131,41264,23714,38453,40086,41206,5.7
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,NA,NA,YES,KANDHKOT TALUKA,23989,17923,2684,3382,23527,22565,15464,21321,22933,23511,5.56
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,NA,YES,GHAUSPUR TC,6340,3740,799,1801,6212,5949,2960,5805,5890,6078,5.44
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,YES,CHARGE NO 06,6340,3740,799,1801,6212,5949,2960,5805,5890,6078,5.44
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,NO,CIRCLE NO 02,581,153,48,380,571,542,104,548,554,561,5.81
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,NO,CIRCLE NO 03,1024,618,85,321,1016,1017,409,982,963,966,5.51
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,NO,CIRCLE NO 04,1785,1098,245,442,1723,1732,992,1696,1673,1782,5.35
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,NO,CIRCLE NO 05,1148,759,215,174,1144,1097,693,817,922,1119,5.32
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,NO,CIRCLE NO 06,1131,671,140,320,1095,943,462,1122,1119,1003,5.54
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,GHAUSPUR TC,CHARGE NO 06,NO,CIRCLE NO 07,671,441,66,164,663,618,300,640,659,647,5.29
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,NA,YES,KANDHKOT MC,17649,14183,1885,1581,17315,16616,12504,15516,17043,17433,5.61
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,YES,CHARGE NO 03,7047,5651,731,665,6928,6438,4937,5849,6530,6980,5.47
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 01,1231,1149,47,35,1229,1195,1038,1208,1209,1229,5.3
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 02,1371,1123,150,98,1363,1353,683,855,1324,1358,5.29
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 03,1012,993,8,11,1008,1012,936,945,1011,1012,5.21
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 04,603,459,53,91,587,584,416,481,486,583,5.68
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 05,774,531,148,95,762,402,494,694,736,767,5.84
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 06,1322,775,228,319,1312,1191,746,984,1054,1301,5.4
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 03,NO,CIRCLE NO 07,734,621,97,16,667,701,624,682,710,730,6.03
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 04,YES,CHARGE NO 04,3698,3299,258,141,3541,3653,3282,3471,3677,3692,5.34
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 04,NO,CIRCLE NO 01,699,598,38,63,690,693,549,696,696,699,5.63
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,KANDHKOT MC,CHARGE NO 04,NO,CIRCLE NO 02,394,337,45,12,372,390,354,326,386,392,5.36
