province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,ALL SEXES,1090336,100,REGULAR,182946,98.47,1069017
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,ALL SEXES,1090336,100,INSTITUTIONAL,2745,1.48,21041
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,ALL SEXES,1090336,100,HOMELESS,97,0.05,278
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,ALL SEXES,1090336,100,TOTAL,185788,100,1090336
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,MALE,564663,51.79,REGULAR,182946,98.47,553174
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,MALE,564663,51.79,INSTITUTIONAL,2745,1.48,11342
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,MALE,564663,51.79,HOMELESS,97,0.05,147
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,MALE,564663,51.79,TOTAL,185788,100,564663
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,FEMALE,525558,48.2,REGULAR,182946,98.47,515732
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,FEMALE,525558,48.2,INSTITUTIONAL,2745,1.48,9695
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,FEMALE,525558,48.2,HOMELESS,97,0.05,131
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,FEMALE,525558,48.2,TOTAL,185788,100,525558
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,TRANSGENDER,115,0.01,REGULAR,182946,98.47,111
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,TRANSGENDER,115,0.01,INSTITUTIONAL,2745,1.48,4
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,TRANSGENDER,115,0.01,HOMELESS,97,0.05,0
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,TRANSGENDER,115,0.01,TOTAL,185788,100,115
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,ALL SEXES,836677,100,REGULAR,139232,98.43,819722
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,ALL SEXES,836677,100,INSTITUTIONAL,2139,1.51,16699
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,ALL SEXES,836677,100,HOMELESS,75,0.05,256
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,ALL SEXES,836677,100,TOTAL,141446,100,836677
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,MALE,433432,51.8,REGULAR,139232,98.43,424516
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,MALE,433432,51.8,INSTITUTIONAL,2139,1.51,8780
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,MALE,433432,51.8,HOMELESS,75,0.05,136
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,MALE,433432,51.8,TOTAL,141446,100,433432
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,FEMALE,403169,48.19,REGULAR,139232,98.43,395133
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,FEMALE,403169,48.19,INSTITUTIONAL,2139,1.51,7916
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,FEMALE,403169,48.19,HOMELESS,75,0.05,120
