province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,WALL,BAKED BRICKS/BLOCKS/STONES,63885,41.88,2824
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,WALL,UNBAKED BRICKS/MUD,45402,29.76,1784
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,WALL,WOOD/BAMBOO,39348,25.8,1403
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,WALL,OTHERS,3906,2.56,209
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,ROOF,RCC/RBC,2925,1.92,853
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,ROOF,CEMENT/IRON SHEETS,5523,3.62,302
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,ROOF,GARDER/T.IRON,58199,38.15,2142
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,ROOF,WOOD/BAMBOO,81870,53.67,2667
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,UNDER CONSTRUCTION,6220,4.08,ROOF,OTHERS,4024,2.64,256
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,WALL,BAKED BRICKS/BLOCKS/STONES,63885,41.88,13522
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,WALL,UNBAKED BRICKS/MUD,45402,29.76,14856
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,WALL,WOOD/BAMBOO,39348,25.8,10404
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,WALL,OTHERS,3906,2.56,944
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,ROOF,RCC/RBC,2925,1.92,494
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,ROOF,CEMENT/IRON SHEETS,5523,3.62,1827
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,ROOF,GARDER/T.IRON,58199,38.15,12648
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,ROOF,WOOD/BAMBOO,81870,53.67,23203
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,LESS THAN 5 YEARS,39726,26.04,ROOF,OTHERS,4024,2.64,1554
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,WALL,BAKED BRICKS/BLOCKS/STONES,63885,41.88,26088
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,WALL,UNBAKED BRICKS/MUD,45402,29.76,16726
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,WALL,WOOD/BAMBOO,39348,25.8,16734
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,WALL,OTHERS,3906,2.56,1257
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,ROOF,RCC/RBC,2925,1.92,834
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,ROOF,CEMENT/IRON SHEETS,5523,3.62,1726
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,ROOF,GARDER/T.IRON,58199,38.15,23307
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,ROOF,WOOD/BAMBOO,81870,53.67,33965
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,5-10 YEARS,60805,39.86,ROOF,OTHERS,4024,2.64,973
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,WALL,BAKED BRICKS/BLOCKS/STONES,63885,41.88,19594
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,WALL,UNBAKED BRICKS/MUD,45402,29.76,10271
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,WALL,WOOD/BAMBOO,39348,25.8,8530
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,WALL,OTHERS,3906,2.56,828
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,RCC/RBC,2925,1.92,680
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,CEMENT/IRON SHEETS,5523,3.62,1307
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,GARDER/T.IRON,58199,38.15,18369
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,WOOD/BAMBOO,81870,53.67,18139
