province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,INSIDE WATER,TOTAL INSIDE,175010,95.66,146682
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,INSIDE WATER,TAP,72342,39.54,59209
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,INSIDE WATER,ELECTRIC/HAND PUMP,96094,52.53,82864
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,INSIDE WATER,PROTECTED WELL,441,0.24,368
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,INSIDE WATER,UN-PROTECTED WELL,1510,0.83,1031
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,INSIDE WATER,OTHERS,4623,2.53,3210
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,TOTAL OUTSIDE,7936,4.34,5859
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,TAP,2010,1.1,1413
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,ELECTRIC/HAND PUMP,3413,1.87,2438
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,PROTECTED WELL,18,0.01,13
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,UN-PROTECTED WELL,141,0.08,124
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,SPRING,34,0.02,25
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,CANAL/RIVER/POND,204,0.11,167
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,OUTSIDE WATER,OTHERS,2116,1.16,1679
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,COOKING FUEL,WOOD,145179,79.36,1413
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,COOKING FUEL,GAS,29841,16.31,2438
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,COOKING FUEL,KEROSENE OIL,703,0.38,13
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,COOKING FUEL,OTHERS,7223,3.95,124
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,LIGHTING SOURCE,ELECTRICITY,145179,79.36,123260
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,LIGHTING SOURCE,KEROSENE OIL,29841,16.31,23280
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,LIGHTING SOURCE,GAS LAMP,703,0.38,619
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OWNED,152541,83.38,LIGHTING SOURCE,OTHERS,7223,3.95,5382
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,RENTED,10318,5.64,INSIDE WATER,TOTAL INSIDE,175010,95.66,9461
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,RENTED,10318,5.64,INSIDE WATER,TAP,72342,39.54,4982
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,RENTED,10318,5.64,INSIDE WATER,ELECTRIC/HAND PUMP,96094,52.53,4274
